,jlinalg.csv,arcallians.csv,yale.csv,qmmp.csv
arcallians.csv,0.86,0.22,0.76,0.27
jlinalg.csv,0.21,0.78,0.74,0.5
qmmp.csv,0.21,0.88,0.4,0.16
yale.csv,0.07,0.35,0.26,0.69
