,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.26,0.17,0.0,0.85,0.14,0.2,0.11,0.18,0.09
atlc.csv,0.17,0.72,0.63,0.57,0.17,0.58,0.51,0.47,0.43,0.91
ipfilter.csv,0.76,0.88,0.8,0.74,0.78,0.82,0.75,0.11,0.85,0.72
jmol.csv,0.38,0.64,0.94,0.43,1.0,0.87,0.78,0.95,0.51,0.56
pfaedit.csv,0.0,0.34,0.2,0.78,0.32,0.3,0.21,0.05,0.34,0.16
rockbox.csv,0.0,0.38,0.49,0.61,0.39,0.39,0.53,0.42,0.44,0.31
snakeyaml.csv,0.21,0.24,0.34,0.17,0.21,0.22,0.17,0.58,0.2,0.06
theresa.csv,0.14,0.24,0.34,0.3,0.34,0.18,0.21,0.47,0.23,0.06
trinitycore.csv,0.1,0.52,0.2,0.26,0.08,0.23,0.2,0.11,0.37,0.12
wxcode.csv,0.0,0.18,0.2,0.04,0.02,0.28,0.18,0.0,0.17,0.06
