,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.12,0.59,0.06,0.19,0.56,0.37,0.68,0.35,0.43
atlc.csv,0.88,0.0,0.35,0.58,0.13,0.36,0.16,0.62,0.34,0.43
ipfilter.csv,0.43,0.12,0.74,0.82,0.13,0.33,0.2,0.97,0.36,0.44
jmol.csv,0.76,0.06,0.77,0.77,0.23,0.34,0.19,0.83,0.33,0.63
pfaedit.csv,0.0,0.18,0.8,0.85,0.25,0.32,0.36,0.19,0.41,0.55
rockbox.csv,0.05,0.24,0.71,0.76,0.3,0.27,0.19,0.54,0.45,0.71
snakeyaml.csv,0.69,0.24,0.58,0.48,0.44,0.29,0.33,0.58,0.37,0.17
theresa.csv,0.33,0.33,0.73,0.63,0.4,0.34,0.3,0.55,0.41,0.5
trinitycore.csv,0.13,0.19,0.28,0.26,0.14,0.09,0.31,0.15,0.49,0.16
wxcode.csv,0.18,0.29,0.53,0.49,0.33,0.4,0.5,0.54,0.4,0.25
