,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.47,0.43,0.82,0.35,0.53,0.6,0.51,0.27,0.29
ctrlr.csv,0.55,0.34,0.09,0.29,0.31,0.42,0.76,0.37,0.39
customsagetv.csv,0.14,0.11,0.09,0.02,0.17,0.0,0.02,0.03,0.58
glas.csv,0.38,0.57,0.73,0.33,0.56,0.43,0.31,0.33,0.78
octave.csv,0.27,0.39,0.75,0.36,0.22,0.31,0.38,0.43,0.25
tango-cs.csv,0.64,0.82,0.82,0.33,0.46,0.17,0.87,0.73,0.43
xcf.csv,0.47,0.77,0.34,0.53,0.31,0.42,0.62,0.33,0.77
xfce.csv,0.38,0.57,0.68,0.45,0.29,0.38,0.6,0.43,0.71
zildo.csv,0.26,0.23,0.25,0.47,0.53,0.38,0.05,0.23,0.61
