,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.82,0.84,0.83,0.7,0.37,0.65,0.62,0.88,1.0,0.87,1.02,1.03
emulemorph.csv,0.87,1.0,0.52,1.05,0.58,1.0,1.0,0.86,0.36,1.0,0.97,1.1
jaxen.csv,0.88,0.94,0.62,0.69,0.83,0.86,0.89,0.09,0.85,0.79,0.55,1.27
jvcl.csv,0.9,0.5,0.49,0.73,0.58,0.92,1.03,0.53,0.61,0.79,0.56,0.8
m-m-m.csv,0.69,0.62,0.88,0.77,0.96,0.29,0.95,1.0,1.04,0.91,0.99,0.5
motu.csv,0.61,0.81,0.75,0.86,0.99,0.64,1.0,0.86,0.72,0.36,0.37,1.28
nh3d.csv,0.62,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.74,0.77,1.01,0.35,0.87,0.77,0.23,0.77,0.89,0.58,0.94,0.23
wgs-assembler.csv,0.61,0.62,0.92,0.55,0.71,0.92,0.64,0.81,0.69,0.64,0.89,1.02
zabbix.csv,0.77,1.0,0.51,0.68,0.8,0.67,1.07,0.68,0.62,0.7,0.49,1.06
