,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.76,0.8,0.55,0.53,0.33,0.4,0.62,0.85,0.74,0.52,0.96,0.25
emulemorph.csv,0.04,0.03,0.27,0.31,0.36,0.0,0.07,0.3,0.32,0.07,0.0,0.47
jaxen.csv,0.84,0.91,0.59,0.52,0.81,0.8,0.89,0.09,0.84,0.78,0.15,0.78
jvcl.csv,0.06,0.0,0.23,0.09,0.36,0.0,0.26,0.34,0.35,0.2,0.07,0.8
m-m-m.csv,0.4,0.57,0.76,0.76,0.94,0.2,0.95,1.0,0.62,0.91,0.97,0.5
motu.csv,0.53,0.81,0.75,0.57,0.99,0.1,0.07,0.84,0.52,0.2,0.15,0.81
nh3d.csv,0.44,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0
sarasvati.csv,0.27,0.58,0.73,0.3,0.45,0.2,0.23,0.74,0.32,0.43,0.88,0.23
wgs-assembler.csv,0.33,0.62,0.91,0.52,0.46,0.0,0.64,0.1,0.48,0.63,0.04,0.22
zabbix.csv,0.74,0.09,0.34,0.57,0.36,0.1,0.38,0.33,0.37,0.59,0.12,0.36
