,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.83,0.71,0.94,0.88,0.52,0.61,0.73,0.7,0.63,0.68,0.61,0.79,0.63,0.65,0.35,0.66,1.0,0.79,0.75,0.62
galaxium.csv,0.83,0.76,0.76,0.96,0.38,0.41,0.73,0.61,0.11,0.68,0.71,0.81,0.77,0.56,0.74,0.48,1.0,0.81,1.0,0.38
itext.csv,0.97,0.84,0.88,0.62,0.4,0.62,0.73,0.67,0.68,0.89,0.82,0.98,0.8,0.71,1.0,0.64,1.0,0.94,1.0,0.83
jahshakafx.csv,0.83,0.75,0.94,0.75,0.28,0.31,0.47,0.47,0.89,0.66,0.74,0.79,0.69,0.47,0.77,0.5,0.67,0.64,1.0,0.12
kolmafia.csv,1.0,0.95,1.0,0.96,0.7,0.89,1.0,0.64,0.84,0.97,0.91,0.89,0.89,0.85,0.98,0.89,1.0,0.72,1.0,0.75
mecat.csv,0.01,0.49,0.45,0.42,0.08,0.05,0.2,0.02,0.26,0.32,0.17,0.04,0.0,0.09,0.42,0.11,1.0,0.06,0.5,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.83,0.6,0.67,0.62,0.12,0.1,0.47,0.34,0.11,0.51,0.44,0.6,0.29,0.38,0.21,0.27,1.0,0.38,0.5,0.12
mptvseries.csv,0.53,0.59,0.48,0.33,0.3,0.09,0.4,0.06,0.74,0.38,0.51,0.38,0.54,0.09,0.79,0.14,0.67,0.04,0.75,0.17
novembre.csv,0.57,0.69,0.3,0.29,0.18,0.4,0.73,0.12,0.05,0.37,0.49,0.62,0.11,0.5,0.03,0.36,0.67,0.7,0.75,0.25
ns-3.csv,0.83,0.72,0.48,0.54,0.44,0.7,1.0,0.3,0.32,0.71,0.68,0.7,0.83,0.88,0.65,0.45,1.0,0.81,0.75,0.29
nullc.csv,0.74,0.99,1.0,1.0,0.66,0.36,0.73,0.9,0.79,0.61,0.65,0.64,0.49,0.06,0.99,0.55,0.67,0.66,0.75,0.42
pixel-commandos.csv,0.03,0.49,0.21,0.33,0.12,0.15,0.4,0.05,0.47,0.43,0.26,0.19,0.03,0.0,0.04,0.18,0.33,0.0,1.0,0.0
plee-the-bear.csv,0.84,0.42,0.79,0.04,0.48,0.58,0.53,0.53,0.68,0.57,0.5,0.66,0.83,0.38,0.74,0.64,0.33,0.6,1.0,0.58
quantlib.csv,1.0,1.0,1.0,0.0,0.0,0.84,0.0,0.0,1.0,0.95,1.0,0.47,0.0,0.15,0.76,0.0,0.0,1.0,0.0,0.71
reaper-ecad.csv,0.49,0.18,0.36,0.75,0.24,0.03,0.0,0.24,0.16,0.18,0.27,0.0,0.09,0.0,0.0,0.07,0.33,0.17,0.25,0.0
sbml.csv,0.8,0.75,0.82,1.0,0.4,0.66,0.93,0.51,0.37,0.79,0.93,0.7,0.74,0.88,0.73,0.77,0.67,0.62,1.0,0.54
smartgwt.csv,0.82,0.64,0.79,0.08,0.22,0.48,0.73,0.47,0.47,0.68,0.55,0.38,0.4,0.12,0.75,0.59,0.0,0.55,1.0,0.38
unladen-swallow.csv,0.17,0.44,0.45,0.08,0.18,0.32,0.53,0.24,0.37,0.16,0.24,0.51,0.46,0.53,0.11,0.32,0.33,0.49,0.5,0.25
vienna-add-in.csv,0.7,0.69,0.42,0.58,0.66,0.3,0.13,0.73,0.26,0.66,0.4,0.87,0.89,0.38,0.91,0.55,0.33,0.51,0.25,0.75
wow-qrsk.csv,0.13,0.43,0.85,0.96,0.16,0.14,0.0,0.41,0.74,0.12,0.84,0.62,0.46,0.53,0.21,0.11,0.67,0.79,0.0,0.0
