,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.24,0.0,0.3,0.12,0.24,0.28,0.16,0.57,0.36,0.15,0.03,0.44,0.83
bscwweasel.csv,0.67,0.5,0.38,0.34,0.41,0.24,0.26,0.0,0.3,0.24,0.17,0.29,0.83
capcode.csv,0.75,0.12,0.23,0.14,0.43,0.33,0.31,0.24,0.39,0.0,0.16,0.43,0.75
emite.csv,0.57,0.07,0.32,0.18,0.34,0.36,0.14,0.88,0.25,0.2,0.28,0.56,0.69
extprosys.csv,0.49,0.08,0.23,0.16,0.31,0.48,0.17,1.0,0.25,0.22,0.16,0.46,0.85
lamp.csv,0.47,0.22,0.45,0.14,0.32,0.33,0.15,0.32,0.39,0.22,0.15,0.44,0.69
retromenu.csv,0.78,0.2,0.42,0.2,0.62,0.4,0.15,0.49,0.29,0.17,0.22,0.67,0.79
smbopensoft.csv,0.8,0.1,0.21,0.1,0.27,0.29,0.07,0.33,0.21,0.0,0.13,0.47,0.65
snakeyaml.csv,0.58,0.1,0.41,0.22,0.47,0.36,0.12,0.48,0.26,0.17,0.35,0.5,0.7
stuproa-cims.csv,0.0,0.4,0.37,0.24,0.44,0.25,0.23,0.32,0.53,0.0,0.32,0.57,0.0
ta3d.csv,0.0,0.0,0.34,0.25,0.46,0.12,0.14,0.0,0.64,0.26,1.0,0.47,0.81
thout.csv,0.52,0.1,0.47,0.11,0.3,0.28,0.15,0.32,0.26,0.21,0.16,0.43,0.68
vrjuggler.csv,0.48,0.13,0.13,0.08,0.3,0.5,0.04,0.0,0.17,0.3,0.11,0.38,1.0
