,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.47,0.27,0.57,0.65,0.25,0.48,0.98,0.66,0.65,0.31,0.47,0.2,0.6,0.41,0.52,0.3,0.43,0.32
doomlegacy.csv,0.6,0.16,0.59,0.72,0.46,0.44,0.61,0.61,0.67,0.46,0.63,0.25,1.0,0.34,0.51,0.38,0.52,0.31
elmo.csv,0.06,0.89,0.0,0.19,0.04,0.0,0.08,0.03,0.11,0.12,0.06,0.04,0.07,0.0,0.0,0.08,0.15,0.15
geochat.csv,0.54,0.25,0.46,0.42,0.45,0.53,0.61,0.48,0.64,0.41,0.51,0.22,0.79,0.32,0.25,0.41,0.49,0.95
gpac.csv,0.39,0.08,0.37,0.51,0.26,0.42,0.57,0.99,0.49,0.31,0.43,0.2,0.39,0.24,0.59,0.23,0.19,0.38
illumination.csv,0.35,0.0,0.28,0.33,0.28,0.27,0.09,0.36,0.37,0.19,0.3,0.11,0.47,0.91,0.36,0.24,0.49,0.35
ktc.csv,0.98,0.21,0.5,0.23,0.58,0.38,0.43,0.4,0.47,0.33,0.29,0.29,0.53,0.29,0.41,0.37,0.5,0.3
neoengine.csv,0.53,0.11,0.98,0.6,0.51,0.39,0.56,0.6,0.6,0.36,0.54,0.2,0.74,0.34,0.37,0.34,0.46,0.29
nicepress.csv,0.57,0.0,0.49,0.23,0.45,1.0,0.41,0.46,0.6,0.11,0.48,0.32,0.4,0.34,0.34,0.33,0.48,0.24
omseek.csv,0.12,0.0,0.11,0.36,0.18,0.36,0.49,0.24,0.27,0.3,0.42,0.92,0.07,0.25,0.29,0.17,0.35,0.2
open-ms.csv,0.51,0.15,0.3,0.41,0.36,0.14,0.54,0.27,0.32,0.39,0.35,0.17,0.5,0.17,0.07,0.94,0.49,0.25
pi-qmc.csv,0.56,0.13,0.54,0.62,0.6,0.44,0.52,0.67,0.55,0.36,0.56,0.24,0.44,0.25,0.98,0.42,0.4,0.36
rosegarden.csv,0.65,0.14,0.47,0.6,0.95,0.5,0.52,0.41,0.49,0.38,0.57,0.2,0.62,0.18,0.38,0.37,0.52,0.22
smarttag.csv,0.55,0.2,0.63,0.51,0.43,0.59,0.45,0.32,0.45,1.0,0.47,0.23,0.46,0.26,0.56,0.24,0.21,0.27
sylpheed-claws.csv,0.57,0.21,0.51,0.35,0.42,0.46,0.42,0.65,0.98,0.48,0.59,0.24,0.61,0.24,0.57,0.29,0.41,0.24
tango-cs.csv,0.36,0.0,0.3,0.38,0.27,0.35,0.19,0.09,0.29,0.17,0.41,0.25,0.4,0.34,0.29,0.2,0.97,0.27
xemeiah.csv,0.68,0.1,0.51,0.46,0.61,0.56,0.46,0.45,0.55,0.11,0.96,0.29,0.61,0.42,0.6,0.33,0.52,0.3
zscreen.csv,0.48,0.14,0.49,0.98,0.42,0.57,0.63,0.67,0.6,0.39,0.46,0.2,0.54,0.2,0.17,0.33,0.43,0.34
