,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.53,0.78,0.67,0.58,0.3,0.59,0.98,0.49,0.68,0.44,0.45,0.55,0.51,0.69,0.65,0.54,0.45,0.5
doomlegacy.csv,0.68,0.59,0.68,0.67,0.64,0.55,0.59,0.58,0.7,0.61,0.6,0.69,1.0,0.6,0.69,0.62,0.52,0.48
elmo.csv,0.04,0.83,0.0,0.13,0.04,0.0,0.05,0.02,0.07,0.09,0.04,0.04,0.05,0.0,0.0,0.07,0.11,0.12
geochat.csv,0.56,0.77,0.53,0.34,0.58,0.65,0.54,0.46,0.35,0.44,0.47,0.63,0.7,0.56,0.35,0.68,0.55,0.92
gpac.csv,0.38,0.23,0.33,0.44,0.29,0.46,0.51,0.98,0.45,0.44,0.42,0.37,0.3,0.42,0.5,0.3,0.19,0.58
illumination.csv,0.27,0.0,0.27,0.27,0.21,0.26,0.06,0.29,0.33,0.17,0.26,0.21,0.38,0.9,0.31,0.31,0.56,0.46
ktc.csv,0.98,0.45,0.48,0.16,0.54,0.32,0.35,0.34,0.41,0.33,0.23,0.46,0.43,0.33,0.32,0.44,0.57,0.31
neoengine.csv,0.6,0.31,0.97,0.46,0.68,0.48,0.52,0.58,0.5,0.53,0.52,0.58,0.62,0.57,0.4,0.59,0.52,0.45
nicepress.csv,0.54,0.0,0.44,0.16,0.51,1.0,0.33,0.42,0.61,0.09,0.44,0.49,0.3,0.5,0.31,0.43,0.48,0.24
omseek.csv,0.09,0.0,0.07,0.3,0.16,0.37,0.47,0.19,0.22,0.4,0.37,0.88,0.05,0.28,0.21,0.12,0.37,0.2
open-ms.csv,0.48,0.61,0.28,0.34,0.34,0.1,0.45,0.21,0.31,0.58,0.32,0.46,0.41,0.21,0.06,0.92,0.53,0.34
pi-qmc.csv,0.59,0.49,0.61,0.54,0.65,0.43,0.46,0.65,0.53,0.53,0.56,0.58,0.35,0.33,0.96,0.55,0.45,0.44
rosegarden.csv,0.62,0.58,0.54,0.43,0.93,0.53,0.47,0.36,0.45,0.47,0.56,0.59,0.53,0.21,0.37,0.52,0.59,0.35
smarttag.csv,0.54,0.45,0.66,0.43,0.44,0.63,0.39,0.27,0.4,1.0,0.46,0.51,0.36,0.38,0.5,0.34,0.19,0.27
sylpheed-claws.csv,0.55,0.62,0.52,0.28,0.45,0.5,0.35,0.64,0.97,0.54,0.57,0.43,0.51,0.33,0.5,0.42,0.45,0.27
tango-cs.csv,0.32,0.0,0.3,0.3,0.32,0.39,0.13,0.06,0.24,0.17,0.37,0.49,0.32,0.45,0.31,0.23,0.97,0.37
xemeiah.csv,0.65,0.24,0.55,0.38,0.72,0.61,0.38,0.42,0.53,0.16,0.94,0.49,0.52,0.51,0.63,0.51,0.59,0.37
zscreen.csv,0.52,0.57,0.53,0.97,0.58,0.67,0.57,0.64,0.62,0.51,0.48,0.48,0.44,0.32,0.17,0.53,0.49,0.51
