,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.53,0.4,0.46,0.45,0.72,0.49,0.45,0.32,0.33,0.52,0.53,0.57,0.49,0.44,0.5,0.51,0.61,0.48
doomlegacy.csv,0.43,0.38,0.41,0.47,0.5,0.47,0.45,0.4,0.4,0.4,0.47,0.46,0.4,0.42,0.51,0.55,0.35,0.5
elmo.csv,0.9,0.75,0.0,0.83,0.97,0.67,0.95,0.67,0.94,0.5,0.67,0.94,0.67,0.5,0.5,0.97,0.89,0.9
geochat.csv,0.49,0.44,0.57,0.67,0.41,0.52,0.55,0.56,0.46,0.42,0.57,0.48,0.32,0.47,0.74,0.47,0.45,0.85
gpac.csv,0.69,0.75,0.84,0.59,0.82,0.63,0.47,0.47,0.57,0.47,0.59,0.73,0.72,0.51,0.67,0.87,0.89,0.5
illumination.csv,0.97,0.89,0.97,0.76,0.97,0.88,0.95,0.73,0.74,0.86,0.97,0.83,0.62,0.88,0.91,0.77,0.44,0.7
ktc.csv,0.5,0.5,0.53,0.83,0.69,0.71,0.68,0.63,0.53,0.8,0.95,0.62,0.49,0.72,0.86,0.69,0.36,0.91
neoengine.csv,0.46,0.55,0.58,0.48,0.56,0.58,0.51,0.38,0.51,0.48,0.57,0.57,0.49,0.43,0.67,0.53,0.51,0.6
nicepress.csv,0.59,0.75,0.69,0.86,0.63,0.58,0.74,0.57,0.48,0.8,0.59,0.73,0.65,0.63,0.85,0.69,0.54,0.95
omseek.csv,0.96,0.67,0.91,0.8,0.98,0.71,0.63,0.94,0.98,0.5,0.84,0.96,0.67,0.93,0.83,0.95,0.78,0.95
open-ms.csv,0.65,0.68,0.96,0.65,0.97,0.86,0.51,0.84,0.82,0.53,0.81,0.67,0.69,0.95,0.8,0.89,0.46,0.85
pi-qmc.csv,0.5,0.5,0.51,0.46,0.65,0.61,0.56,0.36,0.59,0.48,0.65,0.6,0.7,0.7,0.57,0.59,0.46,0.69
rosegarden.csv,0.52,0.63,0.46,0.47,0.67,0.58,0.56,0.68,0.49,0.5,0.68,0.61,0.52,0.88,0.73,0.56,0.36,0.66
smarttag.csv,0.57,0.53,0.48,0.6,0.75,0.59,0.63,0.79,0.67,0.79,0.63,0.59,0.75,0.6,0.64,0.72,0.95,0.9
sylpheed-claws.csv,0.56,0.42,0.48,0.65,0.61,0.55,0.66,0.39,0.5,0.53,0.57,0.61,0.39,0.52,0.54,0.58,0.45,0.68
tango-cs.csv,0.83,0.0,0.77,0.76,0.7,0.64,0.98,0.93,0.88,0.89,0.72,0.72,0.76,0.71,0.74,0.94,0.61,0.77
xemeiah.csv,0.47,0.47,0.46,0.58,0.53,0.62,0.64,0.51,0.51,0.57,0.58,0.61,0.38,0.62,0.52,0.55,0.35,0.62
zscreen.csv,0.55,0.44,0.62,0.48,0.52,0.5,0.46,0.41,0.48,0.45,0.6,0.66,0.61,0.62,0.93,0.62,0.42,0.51
