,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.41,0.18,0.0,0.71,0.22,0.31,0.54,0.18,0.44,0.45
arsenal-1.csv,0.79,0.32,0.65,0.22,0.26,0.37,0.22,0.37,0.42,0.33
barracudamvc.csv,0.8,0.58,0.58,0.56,0.89,0.54,0.43,0.19,0.83,0.81
irplus.csv,0.8,0.52,0.34,0.6,0.51,0.58,0.56,0.32,0.73,0.63
lite.csv,0.68,0.24,0.55,0.32,0.44,0.4,0.6,0.47,0.58,0.43
mevenide.csv,0.7,0.38,0.27,0.0,0.22,0.0,0.12,0.71,0.09,0.29
ontopia.csv,0.31,0.54,0.39,0.52,0.88,0.32,0.43,0.15,0.81,0.8
openintents.csv,0.69,0.65,0.64,0.5,0.68,0.46,0.32,0.3,0.57,0.72
ta3d.csv,0.39,0.17,0.6,0.0,0.43,0.37,0.19,0.29,0.09,0.72
tweetsharp.csv,0.5,0.44,0.64,0.56,0.64,0.37,0.38,0.19,0.82,0.6
