,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.36,0.21,0.25,0.09,0.38,0.29,0.51,0.36,0.98,0.91,0.55,0.36,0.26,0.68,0.38,0.89,0.81
botsnscouts.csv,0.0,0.0,0.0,0.12,0.0,0.67,0.85,0.0,0.0,0.19,0.7,0.44,0.36,0.0,0.0,0.0,0.86
cities3d.csv,0.0,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.21,1.0,0.41,0.0,0.0,0.0,0.0,0.83
dynalloy.csv,0.83,0.0,0.0,0.09,0.0,0.38,0.5,0.0,0.0,0.18,0.62,0.4,0.37,0.0,0.8,0.0,0.74
electric-core.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
findbugs.csv,0.36,0.21,0.3,0.25,0.52,0.21,0.5,0.75,0.98,0.8,0.83,0.33,1.0,0.74,0.74,0.81,0.9
img-browse-sort.csv,0.88,0.0,0.0,0.09,0.0,0.5,0.8,0.0,0.0,0.22,0.81,0.4,0.86,0.0,0.0,0.0,0.5
jparsec.csv,0.3,0.0,0.29,0.08,0.56,0.27,0.65,0.83,0.0,0.22,0.7,0.89,0.38,0.67,0.55,0.0,0.85
moast.csv,0.37,0.0,0.25,0.09,0.31,0.29,0.5,0.37,0.0,0.19,0.55,0.39,0.25,0.68,0.38,0.99,0.77
mptvseries.csv,0.38,0.0,0.1,0.09,0.82,0.3,0.54,0.88,0.0,0.19,0.64,0.41,0.46,0.75,0.38,0.98,0.8
mvnforum.csv,0.38,0.0,0.18,0.06,0.0,0.67,0.51,0.0,0.0,0.19,0.55,0.39,0.25,0.58,0.25,1.0,0.71
nosleepsoftware.csv,1.0,0.21,0.83,0.0,0.28,0.0,0.0,0.36,0.98,0.0,0.0,0.0,0.0,0.63,0.25,0.26,0.0
ogre.csv,0.36,0.21,0.25,0.09,0.38,0.29,0.5,0.36,0.98,0.19,0.55,0.39,0.25,0.68,0.38,0.89,0.77
openfrag.csv,0.38,0.44,0.21,0.12,0.62,0.29,0.57,0.67,0.8,0.27,0.8,0.37,0.5,0.76,0.45,0.9,0.9
qdvdauthor.csv,0.42,0.0,0.26,0.09,0.48,0.28,0.53,0.48,0.0,0.19,0.56,0.39,0.27,0.76,0.39,0.91,0.76
sumatrapdf.csv,0.37,0.0,0.25,0.09,0.41,0.29,0.51,0.85,0.0,0.19,0.55,0.39,0.27,0.68,0.39,0.96,0.76
zxing.csv,0.32,0.0,0.06,0.15,1.0,0.25,0.68,0.0,0.0,0.2,0.76,0.39,0.24,0.86,0.41,0.5,0.91
