,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.41,0.8,0.25,0.77,0.61,0.61,0.66,0.86,0.0,0.0,0.82,0.02
ivatamasks.csv,0.41,0.69,0.13,0.76,0.71,0.45,0.65,0.84,0.7,0.02,0.68,0.99
orc.csv,0.08,0.67,0.49,0.64,0.16,0.71,0.72,0.0,0.0,0.04,0.48,0.02
plato.csv,0.45,0.98,0.15,0.69,0.75,0.9,0.62,0.56,0.71,0.02,0.83,0.98
proftp.csv,0.0,0.33,0.33,0.44,0.09,0.55,0.75,0.55,0.0,0.06,0.55,0.0
tycho.csv,0.14,0.8,0.26,0.61,0.29,0.35,0.24,0.35,0.72,0.0,0.69,0.0
uclmda.csv,0.0,0.01,0.0,0.0,0.42,0.17,0.14,0.02,0.48,0.0,0.06,1.0
umber.csv,0.81,0.91,0.2,0.83,0.58,0.89,0.63,0.8,0.19,0.02,0.6,0.98
unicase.csv,0.67,0.94,0.22,0.79,0.43,0.93,0.64,0.76,0.39,0.02,0.81,0.02
vienna-add-in.csv,0.43,0.81,0.19,0.68,0.75,0.52,0.0,0.81,0.63,0.0,0.52,0.87
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.62,0.81,0.72,0.02,0.84,0.95
