,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,1046.0,192.0,280.5,374.0,96.5,86.5,743.0,760.0,98.5,97.5,1238.5,99.0,289.5,98.5
flylinkdc.csv,368.0,99.0,659.5,374.0,98.5,98.5,370.0,99.0,98.5,98.5,702.0,99.0,95.5,98.5
grisbi.csv,1234.0,99.0,569.5,285.5,98.5,98.5,556.0,98.5,98.5,98.5,1488.5,99.0,388.0,98.5
jaolt.csv,273.5,99.0,381.5,441.5,98.5,97.5,461.5,99.0,98.5,98.5,233.5,96.5,290.5,98.5
maidsafe-dht.csv,272.5,93.5,280.5,526.0,98.5,98.5,268.5,97.5,98.5,98.5,877.0,99.0,1692.5,98.5
mimosa.csv,951.5,295.0,666.0,285.5,98.5,98.5,1213.0,99.0,98.5,97.5,1767.5,99.0,290.5,98.5
n2cms.csv,949.5,99.0,188.0,529.0,98.5,86.5,279.5,97.5,98.5,98.5,329.0,96.5,388.0,98.5
nassp.csv,83.5,192.0,185.0,253.5,98.5,87.5,182.0,630.0,89.5,95.5,11.5,96.5,93.5,161.0
nug.csv,569.0,97.5,248.5,279.5,124.0,190.0,599.5,195.5,98.5,97.5,428.5,79.5,192.0,98.5
quantlib.csv,1424.0,377.5,76.0,374.0,98.5,97.5,743.0,99.0,98.5,131.0,0.0,0.0,93.5,106.0
red5.csv,1325.5,99.0,280.5,285.5,96.5,97.5,647.5,99.0,98.5,97.5,1685.0,99.0,388.0,98.5
super-tux.csv,1423.0,97.5,382.5,93.5,98.5,94.5,186.0,97.5,98.5,98.5,1685.0,99.0,388.0,96.5
tcvp.csv,282.5,81.5,81.0,90.5,94.5,91.5,264.5,0.0,0.0,45.5,740.5,0.0,34.5,83.5
zxing.csv,566.5,94.5,375.0,533.0,98.5,96.5,461.5,98.5,98.5,98.5,784.0,96.5,289.5,98.5
