,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.54,0.6,0.89,0.87,0.65,0.88,0.64,0.97,0.76,0.65,0.66
etherboot.csv,0.5,0.86,0.63,0.66,0.0,0.47,0.94,0.43,0.0,0.0,0.0
ffigo.csv,0.0,0.82,0.88,0.92,0.85,0.9,0.68,0.78,0.41,0.6,0.81
gebr.csv,0.41,0.4,0.43,0.43,0.35,0.45,0.36,0.38,0.39,0.38,0.34
gpac.csv,0.89,0.65,0.96,0.86,0.52,0.83,0.9,0.59,0.48,0.37,0.36
libtorrent.csv,0.5,0.43,0.47,0.44,0.33,0.5,0.36,0.38,0.39,0.4,0.38
miranda.csv,0.5,0.0,0.61,0.48,0.75,0.0,0.4,0.93,0.38,0.98,0.4
modellus.csv,0.5,0.76,0.57,0.48,0.57,0.58,0.54,0.42,0.51,0.37,0.36
mplayer-ce.csv,0.5,0.42,0.47,0.41,0.39,0.44,0.38,0.43,0.38,0.53,0.41
nicepress.csv,0.52,0.5,0.5,0.45,0.32,0.47,0.45,0.54,0.41,0.37,0.33
vapor.csv,0.5,0.46,0.42,0.41,0.0,0.46,0.36,0.43,0.53,0.0,0.0
