,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv,mplayer-ce.csv,ng4j.csv,jmule.csv
alsa.csv,0.77,0.67,0.67,0.9,0.67,1.0,0.96,0.9,0.73,0.73,0.56,0.54,0.58,0.88,0.42,0.85,0.99,0.56,0.75
arcallians.csv,0.66,0.58,0.48,0.3,0.4,0.91,0.98,0.56,0.7,0.69,0.56,0.75,0.64,0.56,0.49,0.81,0.66,0.58,0.75
arianne.csv,0.41,0.83,1.01,0.78,0.98,0.73,0.97,0.9,0.71,0.75,0.95,0.95,0.84,0.88,0.54,0.75,0.88,0.75,0.65
aztec.csv,0.87,0.68,0.84,0.81,0.57,0.32,0.61,0.53,0.73,0.61,0.49,0.68,0.82,0.69,1.0,0.95,0.79,0.67,0.63
bl-toolkit.csv,0.77,0.97,0.39,0.95,1.0,0.96,0.59,1.0,0.7,1.0,1.0,1.0,0.9,0.8,1.0,1.0,1.0,1.0,0.85
clamav.csv,0.72,0.57,0.66,0.79,0.81,1.01,0.53,0.99,0.85,0.39,0.67,0.65,0.56,0.74,0.83,0.67,0.7,0.79,0.77
gnupdate.csv,0.72,0.85,0.9,0.87,0.71,0.67,0.75,0.92,0.67,0.76,0.29,0.67,0.63,0.76,0.85,0.75,0.97,0.61,1.0
jmule.csv,0.57,0.68,0.41,0.3,0.5,0.5,0.97,0.97,0.84,0.5,0.62,0.56,0.56,0.61,0.54,0.69,1.0,0.38,0.22
les-indemodables.csv,0.89,0.61,0.73,0.61,0.88,0.96,0.89,0.66,0.97,0.66,0.52,0.61,0.49,0.67,0.6,0.52,0.81,0.85,0.83
mbse.csv,0.78,0.8,0.82,0.98,0.91,0.96,0.52,0.48,0.89,0.83,0.69,0.76,0.73,0.8,0.85,0.63,0.71,0.77,1.0
mplayer-ce.csv,0.75,0.5,0.83,0.62,0.42,0.68,0.93,0.56,0.85,0.85,0.64,0.72,0.76,0.67,0.61,0.69,0.53,0.66,0.74
ng4j.csv,0.74,0.51,0.53,0.34,0.54,0.88,0.6,0.61,0.53,0.52,0.35,0.63,0.53,0.6,0.68,0.73,0.73,0.26,0.39
ns-3-dev-def-routing.csv,0.6,0.5,0.47,0.43,0.44,0.55,0.86,0.98,0.55,0.69,0.72,0.61,0.61,0.53,0.43,0.7,0.89,0.62,0.92
openxava.csv,0.69,0.65,0.88,1.01,0.77,0.86,0.39,0.75,0.55,0.61,0.8,0.65,0.63,0.72,0.78,0.52,0.75,0.67,0.87
phonon-vlc-mplayer.csv,0.53,0.55,0.82,0.24,0.49,0.4,0.97,1.0,0.53,0.76,0.44,0.69,0.68,0.66,0.4,0.85,1.0,0.51,0.88
qgis.csv,0.77,0.43,0.71,0.4,0.57,0.96,0.94,1.0,0.54,0.77,1.0,1.0,0.65,0.51,0.49,0.65,0.99,0.65,1.0
vars-redux.csv,0.56,0.49,0.62,0.7,0.74,0.84,0.58,0.91,0.47,0.81,0.87,0.74,0.5,0.57,0.62,0.69,0.75,0.65,0.53
xapian.csv,0.62,0.54,0.93,0.41,0.61,0.93,0.97,0.74,0.82,0.82,0.62,0.77,0.75,0.85,0.44,0.68,0.7,0.71,0.7
yafdotnet.csv,0.68,0.59,0.68,0.73,0.68,0.83,0.51,0.48,0.85,0.95,0.72,0.64,0.4,0.68,0.51,0.49,0.67,0.58,0.66
