,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.41,0.31,0.48,0.36,0.33,0.39,0.86,0.58,0.44,0.65,0.48,0.32,0.45,0.47,0.57,0.33
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.38,0.58,0.54,0.5
bnetd.csv,0.39,0.38,0.53,0.48,0.67,0.52,0.58,0.39,0.47,0.41,0.46,0.35,0.36,0.38,0.49,0.3
elvishrayrenderer.csv,0.41,0.38,0.0,0.33,0.39,0.54,0.89,0.8,0.99,0.49,0.91,0.4,0.38,0.48,0.48,0.37
emisview.csv,0.47,0.0,0.54,0.55,0.5,0.47,0.8,0.82,0.58,0.5,0.42,0.51,0.59,0.67,0.54,0.67
findbugs.csv,0.39,0.32,0.55,0.5,0.43,0.39,0.45,0.46,0.45,0.59,0.43,0.61,0.63,0.38,0.52,0.37
hazelcast.csv,0.28,0.31,0.42,0.33,0.33,0.28,0.36,0.34,0.34,0.4,0.41,0.3,0.28,0.29,0.38,0.32
jitterbit.csv,0.33,0.35,0.68,0.49,0.37,0.39,0.63,0.94,0.59,0.86,0.43,0.49,0.4,0.42,0.43,0.47
jppf-project.csv,0.41,0.71,0.58,0.88,0.48,0.38,0.47,0.42,0.45,0.8,0.59,0.39,0.39,0.68,0.53,0.61
megasquirtavr.csv,0.33,0.39,0.63,0.42,0.41,0.3,0.41,0.44,0.51,0.51,0.42,0.35,0.34,0.4,0.44,0.4
stajistics.csv,0.36,0.44,0.0,0.42,0.39,0.31,0.69,0.55,0.51,0.5,0.54,0.33,0.32,0.5,0.51,0.46
trackit.csv,0.89,0.89,0.95,0.73,0.68,0.86,0.51,0.83,0.95,0.96,0.67,0.86,0.91,0.83,0.87,0.93
tweetsharp.csv,0.47,0.81,0.58,0.56,0.48,0.41,0.49,0.91,0.57,0.78,0.41,0.94,0.48,0.49,0.53,0.91
wxlua.csv,0.64,0.45,0.62,0.45,0.95,0.83,0.64,0.75,0.7,0.53,0.4,0.61,0.95,0.45,0.89,0.5
x4x.csv,0.47,0.41,0.55,0.44,0.45,0.33,0.51,0.57,0.48,0.75,0.41,0.37,0.47,0.54,0.62,0.4
xharbour.csv,0.35,0.38,0.56,0.48,0.42,0.35,0.46,0.49,0.47,0.64,0.43,0.53,0.36,0.4,0.47,0.43
