,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.34,0.17,0.33,0.42,0.27,0.01,0.5,0.48,0.05,0.2,0.26,0.27,0.64,0.04,0.32,0.15,0.16,0.36
bigdata.csv,0.8,0.2,0.23,0.94,0.17,0.83,1.0,0.33,0.36,0.28,1.0,0.25,0.35,0.82,0.0,1.0,0.36,0.17
chaperon.csv,0.17,0.37,0.1,0.04,0.0,0.16,0.12,0.14,0.0,0.2,0.0,0.1,0.07,0.13,0.08,0.09,0.14,0.04
e-bio-flow.csv,0.45,0.17,0.0,0.21,0.35,0.13,0.12,0.14,0.35,0.08,0.53,0.18,0.38,0.21,0.24,0.25,0.36,0.09
exist.csv,0.42,0.33,0.54,0.58,0.17,0.17,0.12,0.02,0.32,0.2,0.74,0.18,0.27,0.44,0.41,0.34,0.45,0.16
freedom-erp.csv,0.08,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.04,0.01,0.0,0.0,0.02,0.0
geotools.csv,0.25,0.63,0.17,0.15,0.17,0.32,0.38,0.34,0.4,0.4,0.21,0.06,0.0,0.23,0.38,0.15,0.2,0.13
jaxlib.csv,0.02,0.07,0.04,0.0,0.06,0.02,0.0,0.04,0.01,0.0,0.0,0.0,0.09,0.02,0.05,0.1,0.03,0.06
jppf-project.csv,1.0,1.0,0.92,0.92,0.75,0.95,0.0,0.88,0.88,1.0,0.53,0.96,0.82,1.0,0.81,1.0,0.93,0.71
matrex.csv,0.25,0.47,0.33,0.33,0.06,0.39,0.0,0.06,0.0,0.12,0.47,0.1,0.18,0.16,0.27,0.3,0.19,0.13
mediate.csv,0.54,0.07,0.9,0.77,0.31,0.56,0.5,0.31,0.61,0.6,0.61,0.57,0.46,0.45,0.59,0.35,0.41,0.32
nunit.csv,0.42,0.9,0.13,0.35,0.19,0.22,0.25,0.74,0.07,0.84,0.2,0.04,0.84,0.14,0.49,0.1,0.0,0.93
octet.csv,0.45,0.83,0.52,0.92,0.35,0.69,0.75,0.71,0.13,0.24,0.74,0.0,0.4,0.68,0.84,0.82,0.27,0.3
pokenetonline.csv,0.35,0.37,0.56,0.92,0.31,0.73,0.75,0.56,0.35,0.0,0.46,0.12,0.34,0.42,0.73,0.28,0.38,0.19
reaper3d.csv,0.02,0.2,0.17,0.35,0.46,0.66,0.62,0.38,0.56,0.0,0.53,0.29,0.35,0.0,0.54,0.01,0.49,0.54
simplewebservices.csv,0.49,0.67,0.54,0.71,0.35,0.86,0.88,0.55,0.45,0.48,0.69,0.22,0.46,0.81,0.59,0.01,0.41,0.43
stajistics.csv,0.28,0.37,0.25,0.54,0.25,0.42,0.75,0.74,0.19,0.48,0.53,0.1,0.34,0.37,0.46,0.19,0.32,0.01
swtfox.csv,0.02,0.43,0.42,0.38,0.73,0.65,0.62,0.76,0.73,0.52,0.37,0.51,0.66,0.77,0.49,0.5,0.53,0.36
