,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.82,0.79,0.57,0.65,0.57,0.09,0.56,0.71,0.81,0.63,0.45,0.51,0.77,0.88,0.72,0.82,0.55,0.88
bigdata.csv,0.92,0.75,0.74,0.94,0.77,0.86,1.0,0.64,0.51,0.66,1.0,0.76,0.6,0.86,0.0,1.0,0.55,0.79
chaperon.csv,0.72,0.85,0.97,1.0,0.0,0.94,0.88,0.93,1.0,0.97,1.0,0.86,0.97,0.88,0.89,0.9,0.84,0.97
e-bio-flow.csv,0.85,0.84,0.03,0.54,1.06,0.8,0.81,0.93,0.87,0.82,0.58,0.6,0.71,0.78,0.78,0.82,0.83,0.87
exist.csv,0.9,0.59,0.69,0.77,1.01,0.55,0.76,0.03,0.58,0.6,0.75,0.74,0.62,0.76,0.65,0.6,0.69,0.56
freedom-erp.csv,0.98,0.95,0.8,1.0,1.0,0.93,0.92,0.98,0.99,1.0,0.06,1.0,0.99,1.0,0.94,1.0,0.98,1.0
geotools.csv,0.79,0.88,0.69,0.52,1.01,0.68,0.86,0.62,0.7,0.61,0.62,1.0,0.05,0.78,0.7,0.95,0.75,0.78
jaxlib.csv,0.93,0.82,1.0,0.0,1.0,0.96,1.0,0.97,1.0,0.88,0.97,1.0,0.88,1.0,0.97,0.89,0.95,0.8
jppf-project.csv,1.0,1.0,0.93,0.92,0.79,0.95,0.0,0.9,0.89,1.0,0.59,0.97,0.82,1.0,0.83,1.0,0.94,0.73
matrex.csv,0.88,0.67,0.74,0.6,0.75,0.49,0.8,0.86,0.05,0.69,0.48,0.72,0.82,0.65,0.77,0.81,0.8,0.84
mediate.csv,0.81,0.07,0.93,0.77,0.59,0.6,0.63,0.54,0.63,0.7,0.63,0.59,0.67,0.51,0.67,0.73,0.56,0.57
nunit.csv,0.61,0.92,0.68,1.06,0.77,0.64,0.62,0.75,0.85,0.86,0.86,0.72,0.89,0.76,0.76,0.89,0.15,0.93
octet.csv,0.62,0.9,0.57,0.92,0.61,0.69,0.81,0.71,0.67,0.58,0.8,0.0,0.53,0.68,0.86,0.85,0.52,0.43
pokenetonline.csv,0.83,0.74,0.73,0.92,0.81,0.76,0.81,0.66,0.54,0.03,0.99,0.44,0.53,0.56,0.78,0.57,0.57,0.38
reaper3d.csv,0.95,0.77,0.62,0.61,0.52,0.76,0.98,0.78,0.61,0.98,0.79,0.64,0.87,0.0,0.83,0.97,0.8,0.83
simplewebservices.csv,0.67,0.68,0.71,1.23,0.35,0.87,0.91,0.65,0.5,0.54,0.69,0.48,0.59,0.89,0.65,0.01,0.65,0.57
stajistics.csv,0.68,0.83,0.59,0.54,0.79,0.72,0.92,0.76,0.87,0.59,0.78,0.86,0.7,0.53,0.68,0.75,0.62,0.04
swtfox.csv,0.02,0.84,0.61,0.62,0.73,0.87,0.76,0.88,0.85,0.76,0.89,0.67,0.73,0.86,0.66,0.66,0.68,0.56
