,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.36,0.0,0.26,0.54,0.0,0.0,0.1,0.16,0.22
ffigo.csv,0.27,0.54,0.03,0.46,0.7,0.08,0.1,0.19,0.32,0.19
foursquared.csv,0.0,0.14,0.0,0.09,0.22,0.0,0.0,0.09,0.0,0.0
gebr.csv,0.81,0.94,0.13,0.93,1.0,0.64,0.76,0.97,0.84,1.0
ildjit.csv,0.21,0.35,0.16,0.24,0.22,0.23,0.23,0.23,0.09,0.12
jfreereport.csv,0.19,0.2,0.0,0.3,0.04,0.03,0.12,0.08,0.11,0.07
kml.csv,0.68,0.99,0.08,0.89,1.0,0.18,0.66,0.9,0.73,0.92
ng4j.csv,0.54,0.45,0.16,0.37,0.43,0.13,0.25,0.17,0.27,0.17
pcsx2.csv,0.21,0.37,0.21,0.87,0.13,0.15,0.37,0.08,0.02,0.31
wxjs.csv,0.01,0.12,0.0,0.02,0.02,0.05,0.02,0.19,0.0,0.05
