,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.31,0.0,0.71,0.49,0.0,0.01,0.43,0.39,0.18
ffigo.csv,0.58,0.39,0.05,0.66,0.6,0.17,0.18,0.0,0.76,0.39
foursquared.csv,0.0,0.46,0.2,0.24,0.86,0.1,0.02,0.0,0.0,0.0
gebr.csv,0.52,0.24,0.7,0.27,0.0,0.71,0.58,0.13,0.46,0.0
ildjit.csv,0.73,0.45,0.28,0.44,0.14,0.48,0.32,0.0,0.39,0.12
jfreereport.csv,0.09,0.48,0.2,0.66,0.51,0.41,0.38,0.15,0.42,0.35
kml.csv,0.39,0.05,0.55,0.38,0.0,0.71,0.68,0.36,0.57,0.3
ng4j.csv,0.61,0.6,0.43,0.56,0.65,0.36,0.54,0.0,0.45,0.81
pcsx2.csv,0.09,0.65,0.64,0.43,0.25,0.62,0.74,0.0,0.19,0.62
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.07,0.04,0.96,0.0,0.0
