,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.41,0.46,0.56,1.0,0.58,0.58,0.6,0.43,0.17,0.38,0.44,0.33,0.44,0.65,0.5
encog-cs.csv,0.0,0.5,0.18,0.56,0.53,0.34,0.0,0.0,0.93,0.48,0.51,0.58,0.37,0.44,0.48
extprosys.csv,0.24,0.0,0.92,0.42,0.3,0.21,0.49,0.36,0.37,0.3,0.43,0.2,0.27,0.34,0.47
ibatisdb.csv,0.0,0.19,0.0,0.16,0.21,0.27,0.21,0.3,0.15,0.36,0.21,0.23,0.13,0.95,0.37
intact.csv,0.0,0.52,0.13,0.5,0.49,0.94,0.12,0.39,0.47,0.52,0.57,0.23,0.46,0.17,0.25
japano.csv,0.21,0.0,0.7,0.57,0.29,0.45,0.57,1.0,0.13,0.3,0.17,0.13,0.35,0.27,0.43
lockss.csv,1.0,0.1,0.07,0.0,0.05,0.12,0.04,0.1,0.13,0.93,0.13,0.06,0.11,0.07,0.06
ofbiz.csv,0.0,0.51,0.49,0.52,0.21,0.4,0.46,0.39,0.49,0.36,0.73,0.06,0.99,0.4,0.47
officefloor.csv,0.0,0.26,0.47,0.5,0.13,0.24,0.46,0.54,0.0,0.11,0.93,0.63,0.0,0.46,0.61
opennms.csv,0.0,0.52,0.49,0.32,0.97,0.2,0.56,0.12,0.21,0.27,0.16,0.34,0.18,0.17,0.13
rohxel.csv,0.41,0.0,0.36,0.53,0.49,0.47,1.0,0.57,0.53,0.63,0.4,0.48,0.54,0.59,0.54
roolo.csv,0.0,0.21,0.13,0.13,0.17,0.27,0.21,0.25,0.21,0.31,0.29,0.96,0.21,0.2,0.13
sevenupdate.csv,0.0,1.0,0.0,0.0,0.17,0.0,0.0,0.0,0.42,0.36,0.13,0.61,0.42,0.05,0.51
web-cat.csv,0.0,0.42,0.36,0.42,0.41,0.34,0.39,0.53,0.33,0.31,0.47,0.48,0.34,0.1,0.96
