,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.88,0.86,0.76,0.0,0.67,0.63,0.7,0.89,0.96,0.89,0.87,0.84,0.86,0.69,0.8
encog-cs.csv,1.13,0.79,0.86,0.77,0.69,0.78,1.0,1.0,0.08,0.76,0.73,0.76,0.8,0.86,0.84
extprosys.csv,0.94,1.02,0.1,0.87,0.92,0.95,0.83,0.9,0.9,0.93,0.89,0.95,0.93,0.91,0.85
ibatisdb.csv,1.0,0.85,1.0,0.92,0.84,0.8,0.9,0.77,0.88,0.73,0.82,0.88,0.89,0.06,0.7
intact.csv,1.08,0.61,0.89,0.57,0.61,0.07,0.92,0.66,0.79,0.73,0.57,0.84,0.65,0.88,0.81
japano.csv,0.95,1.0,0.58,0.72,0.93,0.86,0.54,0.0,0.98,0.93,0.97,0.99,0.9,0.93,0.88
lockss.csv,0.02,0.93,0.94,1.0,0.97,0.9,1.01,0.95,0.89,0.09,0.95,0.96,0.91,0.95,0.95
ofbiz.csv,1.07,0.7,0.74,0.61,0.84,0.78,0.77,0.73,0.65,0.74,0.5,0.96,0.01,0.73,0.74
officefloor.csv,1.0,0.78,0.74,0.82,0.9,0.83,0.86,0.79,1.0,0.91,0.08,0.67,1.0,0.85,0.73
opennms.csv,1.02,0.61,0.66,0.77,0.04,0.84,0.63,0.9,0.82,0.78,0.87,0.75,0.86,0.88,0.9
rohxel.csv,0.88,1.01,0.9,0.8,0.83,0.85,0.0,0.78,0.79,0.66,0.88,0.83,0.8,0.77,0.72
roolo.csv,1.01,0.83,0.89,0.89,0.87,0.81,0.83,0.8,0.86,0.74,0.85,0.05,0.85,0.88,0.9
sevenupdate.csv,1.39,0.0,1.0,1.0,0.96,1.0,1.04,1.0,0.88,0.75,0.97,0.74,0.87,0.99,0.81
web-cat.csv,1.12,0.65,0.75,0.78,0.79,0.79,0.92,0.56,0.74,0.77,0.68,0.78,0.84,1.07,0.05
