,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.02,0.84,0.42,1.0,0.4,0.43,0.76,0.69,0.51,0.34,0.06,0.28,0.76,0.46,0.43
encog-cs.csv,0.0,0.69,0.2,0.79,0.37,0.28,0.84,0.93,0.94,0.26,0.05,0.55,0.43,0.42,0.57
extprosys.csv,0.02,0.82,0.92,0.87,0.43,0.44,0.81,0.9,0.51,0.31,0.04,0.49,0.77,0.38,0.55
ibatisdb.csv,0.0,0.28,0.0,0.22,0.21,0.26,0.28,0.41,0.2,0.26,0.12,0.21,0.19,0.96,0.41
intact.csv,0.0,0.64,0.18,0.61,0.41,0.97,0.18,0.51,0.39,0.28,0.08,0.24,0.54,0.16,0.29
japano.csv,0.02,0.93,0.51,0.76,0.4,0.45,0.67,1.0,0.52,0.33,0.05,0.44,0.79,0.4,0.47
lockss.csv,0.5,0.15,0.1,0.0,0.06,0.16,0.05,0.15,0.19,0.95,0.02,0.08,0.16,0.09,0.1
ofbiz.csv,0.0,0.65,0.35,0.65,0.21,0.3,0.57,0.51,0.44,0.25,0.09,0.08,1.0,0.31,0.41
officefloor.csv,0.0,0.37,0.34,0.81,0.15,0.24,0.75,0.89,0.0,0.13,0.89,0.52,0.01,0.4,0.56
opennms.csv,0.0,0.64,0.38,0.43,0.96,0.24,0.67,0.19,0.27,0.28,0.08,0.33,0.25,0.16,0.17
rohxel.csv,0.02,0.87,0.47,0.88,0.37,0.42,1.0,0.95,0.46,0.34,0.06,0.41,0.72,0.44,0.46
roolo.csv,0.0,0.31,0.16,0.19,0.18,0.25,0.3,0.34,0.22,0.31,0.03,0.97,0.28,0.16,0.17
sevenupdate.csv,0.0,1.0,0.44,0.94,0.43,0.45,0.72,0.96,0.47,0.25,0.05,0.55,0.79,0.4,0.47
web-cat.csv,0.0,0.53,0.3,0.54,0.28,0.27,0.53,0.65,0.35,0.24,0.06,0.38,0.41,0.06,0.97
