,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.64,0.45,0.45,0.0,0.59,0.54,0.2,0.81,0.29,0.56,0.71,0.43
blue-c.csv,0.54,0.55,0.6,0.0,0.68,0.67,0.28,0.84,0.25,0.6,0.66,0.64
cities3d.csv,0.61,0.4,0.2,0.38,0.3,0.0,0.28,0.62,0.42,0.13,0.3,0.0
dynalloy.csv,0.57,0.72,0.53,0.0,0.71,0.54,0.18,0.55,0.23,0.5,0.62,0.48
firebird.csv,0.55,0.42,0.61,0.0,0.61,0.7,0.2,0.64,0.35,0.56,0.59,0.56
hydrogen.csv,0.63,0.53,0.69,0.41,0.66,0.61,0.16,0.71,0.54,0.0,0.48,0.63
nosleepsoftware.csv,0.44,0.0,0.26,0.58,0.11,0.0,0.05,0.06,0.0,0.12,0.0,0.05
openmalaria.csv,0.62,0.45,0.65,0.37,0.48,0.71,0.27,0.74,0.38,0.74,0.53,0.6
popeye-chess.csv,0.65,0.41,0.54,0.14,0.69,0.76,0.19,0.67,0.38,0.62,0.62,0.58
qgo.csv,0.85,0.43,0.66,0.43,0.64,0.58,0.15,0.63,0.33,0.65,0.48,0.63
xmoto.csv,0.12,0.45,0.51,0.34,0.64,0.46,0.27,0.6,0.38,0.64,0.39,0.71
yield.csv,0.62,0.59,0.69,0.4,0.76,0.74,0.17,0.79,0.34,0.66,0.54,0.65
