,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.99,0.94,0.88,0.72,0.86,0.69,0.0,0.64,0.59,0.57,0.47,0.31,0.74,0.75,0.38,0.45,0.79
baadengine.csv,0.49,0.37,0.52,0.37,0.39,0.38,0.54,0.35,0.34,0.35,0.45,0.31,0.4,0.5,0.36,0.44,0.45
bibedt.csv,0.99,0.65,0.54,0.53,0.54,0.58,0.55,0.74,0.45,0.89,0.62,0.61,0.73,0.91,0.44,0.62,0.47
exl.csv,0.66,0.41,0.42,0.47,0.5,0.5,0.59,0.41,0.44,0.76,0.57,0.88,0.35,0.62,0.5,0.92,0.42
gdis.csv,0.48,0.72,0.4,0.51,0.43,0.75,0.53,0.46,0.47,0.44,0.51,0.48,0.56,0.53,0.36,0.48,0.45
gogoego.csv,0.8,0.44,0.74,0.64,0.45,0.52,0.47,0.61,0.5,0.37,0.55,0.64,0.38,0.45,0.28,0.88,0.36
httpcontentparser.csv,0.64,0.47,0.55,0.74,0.43,0.88,0.5,0.44,0.39,0.86,0.63,0.36,0.5,0.67,0.0,0.68,0.47
jaxlib.csv,0.59,0.74,0.97,0.52,0.46,0.63,0.54,0.6,0.98,0.61,0.49,0.75,0.64,0.7,0.71,0.67,0.44
jgameai.csv,0.94,0.95,0.67,0.83,0.86,0.7,0.88,0.98,0.96,0.9,0.98,0.65,0.93,0.5,0.96,0.0,0.0
jhotdraw.csv,0.5,0.41,0.4,0.48,0.42,0.57,0.0,0.38,0.84,0.72,0.7,0.5,0.82,0.51,0.82,0.94,0.55
loki-lib.csv,0.68,0.59,0.58,0.41,0.4,0.64,0.55,0.48,0.41,0.39,0.5,0.4,0.57,0.61,0.35,0.47,0.56
patterntesting.csv,0.41,0.36,0.37,0.41,0.37,0.49,0.53,0.36,0.37,0.58,0.45,0.31,0.36,0.42,0.35,0.48,0.45
pokeglobal.csv,0.56,0.42,0.35,0.55,0.42,0.49,0.54,0.45,0.36,0.39,0.67,0.36,0.43,0.85,0.38,0.66,0.53
werx.csv,0.42,0.42,0.37,0.41,0.41,0.48,0.54,0.38,0.36,0.43,0.46,0.31,0.39,0.4,0.36,0.45,0.73
xbg.csv,0.68,0.91,0.5,0.91,0.83,0.5,0.96,0.96,0.96,0.83,0.76,0.71,0.86,0.65,0.91,0.83,0.91
zealos.csv,0.98,0.88,0.98,0.84,0.67,0.91,0.61,0.98,0.98,0.85,0.92,0.9,0.5,0.0,0.58,0.89,0.0
