,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.68,0.35,0.25,0.1,0.22
dynalloy.csv,0.26,0.57,0.43,0.69,0.71
findbugs.csv,0.84,0.21,0.87,0.12,0.36
runuomondains.csv,0.38,0.53,0.24,0.22,0.33
xbplayer.csv,0.45,0.27,0.54,0.31,0.58
