,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.66,0.95,0.15,0.19,0.02,0.46,0.5,0.43,0.24,0.23,0.38,0.23,0.68
freewrl.csv,0.48,0.64,0.09,0.57,0.13,1.0,0.61,0.52,0.39,0.27,0.78,0.11,0.74
fulguro.csv,0.48,0.33,0.44,0.17,0.1,0.34,0.12,0.34,0.12,0.16,0.16,1.0,0.19
google-web-toolkit.csv,0.28,0.66,0.2,0.51,0.16,0.48,1.0,0.33,0.47,0.22,0.81,0.22,0.41
jcache.csv,0.66,0.7,0.29,0.8,0.11,0.52,0.68,0.52,0.44,0.18,1.0,0.16,0.65
jstock.csv,0.52,0.26,0.12,0.18,0.1,0.12,0.29,0.38,1.0,0.17,0.26,0.24,0.35
mimosa.csv,0.69,0.68,0.15,1.0,0.13,0.34,0.63,0.56,0.27,0.38,0.75,0.25,0.69
miranda.csv,0.68,0.62,0.12,0.53,0.12,0.0,0.41,0.5,0.11,0.19,0.49,0.22,1.0
ns-3-dev-def-routing.csv,0.6,0.63,0.21,0.5,0.13,0.61,0.37,0.99,0.3,0.21,0.43,0.13,0.57
ossbuild.csv,0.61,0.49,0.88,0.46,0.25,0.43,0.4,0.57,0.21,0.32,0.37,0.18,0.64
qtractor.csv,1.0,0.45,0.23,0.66,0.14,0.51,0.48,0.54,0.48,0.24,0.6,0.21,0.71
quarkplayer.csv,0.17,0.57,0.0,0.05,1.0,0.57,0.38,0.31,0.23,0.3,0.23,0.25,0.17
synergyspace.csv,0.06,0.29,0.05,0.27,0.1,0.06,0.28,0.11,0.1,0.98,0.2,0.17,0.01
