,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.68,0.97,0.47,0.16,0.09,0.41,0.45,0.49,0.31,0.5,0.29,0.64,0.7
freewrl.csv,0.46,0.6,0.25,0.68,0.64,1.0,0.6,0.59,0.85,0.42,0.82,0.27,0.75
fulguro.csv,0.39,0.25,0.69,0.11,0.27,0.26,0.07,0.27,0.08,0.12,0.09,1.0,0.13
google-web-toolkit.csv,0.18,0.72,0.69,0.53,0.55,0.44,1.0,0.28,0.69,0.31,0.79,0.36,0.29
jcache.csv,0.75,0.85,0.91,0.92,0.55,0.44,0.72,0.61,0.85,0.19,1.0,0.27,0.57
jstock.csv,0.39,0.16,0.09,0.11,0.27,0.07,0.2,0.3,1.0,0.12,0.15,0.45,0.22
mimosa.csv,0.86,0.8,0.41,1.0,0.73,0.22,0.66,0.85,0.46,0.81,0.76,0.82,0.68
miranda.csv,0.68,0.58,0.28,0.39,0.55,0.0,0.32,0.56,0.08,0.23,0.38,0.82,1.0
ns-3-dev-def-routing.csv,0.54,0.68,0.69,0.45,0.55,0.56,0.26,0.99,0.23,0.38,0.29,0.36,0.46
ossbuild.csv,0.5,0.4,0.88,0.34,0.73,0.37,0.29,0.73,0.15,0.31,0.24,0.64,0.57
qtractor.csv,1.0,0.38,0.72,0.53,0.64,0.48,0.42,0.6,0.46,0.23,0.47,0.73,0.67
quarkplayer.csv,0.14,0.51,0.0,0.03,1.0,0.63,0.29,0.32,0.46,0.65,0.24,0.36,0.1
synergyspace.csv,0.04,0.19,0.06,0.16,0.09,0.04,0.18,0.07,0.08,0.96,0.12,0.09,0.0
