,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.65,0.95,0.43,0.19,0.11,0.44,0.46,0.49,0.35,0.41,0.33,0.59,0.55
freewrl.csv,0.46,0.59,0.27,0.58,0.59,1.0,0.57,0.59,0.58,0.44,0.81,0.29,0.65
fulguro.csv,0.43,0.28,0.71,0.13,0.31,0.3,0.09,0.31,0.1,0.15,0.11,1.0,0.15
google-web-toolkit.csv,0.21,0.56,0.49,0.53,0.56,0.46,1.0,0.32,0.68,0.34,0.8,0.4,0.33
jcache.csv,0.63,0.2,0.7,0.86,0.51,0.48,0.64,0.59,0.69,0.22,1.0,0.31,0.59
jstock.csv,0.44,0.19,0.11,0.13,0.31,0.09,0.24,0.34,1.0,0.15,0.18,0.48,0.26
mimosa.csv,0.58,0.43,0.41,1.0,0.6,0.26,0.59,0.56,0.45,0.65,0.76,0.63,0.61
miranda.csv,0.67,0.57,0.31,0.44,0.53,0.0,0.35,0.56,0.1,0.27,0.43,0.53,1.0
ns-3-dev-def-routing.csv,0.57,0.5,0.55,0.48,0.55,0.58,0.3,0.99,0.27,0.39,0.34,0.37,0.49
ossbuild.csv,0.54,0.43,0.9,0.39,0.73,0.4,0.33,0.65,0.18,0.35,0.28,0.47,0.58
qtractor.csv,1.0,0.41,0.58,0.58,0.6,0.49,0.44,0.6,0.51,0.27,0.52,0.55,0.64
quarkplayer.csv,0.16,0.52,0.0,0.04,1.0,0.53,0.33,0.35,0.37,0.53,0.25,0.4,0.12
synergyspace.csv,0.05,0.22,0.07,0.19,0.11,0.05,0.21,0.09,0.1,0.97,0.15,0.11,0.0
