,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv,beast-mcmc.csv
apertium.csv,0.5,0.0,1.0,1.0,0.77,0.25,0.7,,0.71,0.5,0.82,1.0,0.33,0.67,0.53,0.6,0.62
beast-mcmc.csv,0.55,0.28,0.65,0.78,0.62,0.37,0.64,0.23,0.59,0.64,0.85,0.94,0.44,0.28,0.38,0.81,
bigdata.csv,0.48,0.19,0.62,0.57,0.55,0.39,0.48,0.61,0.6,0.54,0.85,,0.7,0.28,0.36,0.71,0.31
codesmith.csv,0.38,0.21,0.59,0.44,0.44,0.33,0.42,0.09,0.63,0.5,0.78,0.9,0.55,0.24,0.28,,0.24
cuberok.csv,0.54,0.21,0.75,0.5,0.55,,0.64,0.34,0.58,0.52,0.76,0.92,0.69,0.3,0.32,0.42,0.49
exist.csv,0.57,0.23,0.7,0.5,0.51,0.4,0.48,0.3,,0.55,0.77,0.91,0.54,0.29,0.39,0.66,0.3
icescrum.csv,0.61,0.21,0.83,0.54,0.66,0.46,0.72,0.35,0.89,0.83,0.86,0.95,0.24,0.28,,0.86,0.65
jbasic.csv,0.55,0.23,0.68,0.52,0.54,0.46,,0.31,0.57,0.5,0.79,0.91,0.33,0.29,0.4,0.64,0.29
jrefactory.csv,,0.18,0.58,0.52,0.5,0.34,0.46,0.24,0.75,0.54,0.8,0.86,0.55,0.3,0.41,0.65,0.25
jsecurity.csv,0.62,,0.84,0.58,0.72,0.53,0.75,0.0,0.75,0.78,0.8,0.87,0.2,0.0,1.0,0.83,0.54
libopenmetaverse.csv,0.59,0.2,0.84,,0.59,0.53,0.47,0.45,0.64,0.55,0.79,0.88,0.43,0.33,0.42,0.85,0.34
mobicents.csv,0.54,0.35,0.78,0.51,,0.37,0.55,0.39,0.57,0.58,0.76,0.89,0.58,0.29,0.39,0.5,0.39
opendvr.csv,0.48,0.38,0.75,0.48,0.67,0.4,0.65,0.38,0.66,0.57,0.78,0.88,0.38,,0.58,0.62,0.43
power-architect.csv,0.53,0.27,0.66,0.51,0.52,0.39,0.5,0.3,0.57,0.54,,0.89,0.61,0.29,0.37,0.65,0.31
sidekar.csv,0.0,0.0,,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
wheat.csv,0.35,0.28,0.71,0.45,0.58,0.57,0.5,0.37,0.61,,0.85,0.89,0.62,0.33,0.55,0.65,0.32
wsmt.csv,0.44,0.17,0.67,0.5,0.42,0.0,0.58,0.29,0.5,0.67,0.71,0.87,,0.0,0.0,0.59,0.26
