,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.45,0.39,0.09,0.0,0.61,0.24,0.25,0.51,0.22,0.9
haggle.csv,0.0,0.52,0.97,1.0,0.28,0.33,0.0,0.17,0.14,0.62
ibatisdb.csv,0.2,0.35,0.28,0.0,0.94,0.42,0.0,0.09,0.41,0.68
jas.csv,0.0,0.04,0.01,0.0,0.0,0.01,0.88,0.0,0.0,0.0
mesa3d.csv,0.05,0.22,0.14,0.0,0.08,0.28,0.12,0.43,0.81,0.2
ngl.csv,0.4,0.52,0.65,1.0,0.28,0.99,0.75,0.43,0.54,0.65
pustefix.csv,0.5,1.0,0.16,0.0,0.08,0.14,0.25,0.43,0.8,0.1
scenemonitor.csv,1.0,0.52,0.65,0.67,0.94,0.66,0.88,0.43,0.67,0.8
wsmt.csv,0.2,0.17,0.39,0.67,0.17,0.16,0.12,0.97,0.04,0.2
