,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.4,0.31,0.16,0.0,0.56,0.35,0.11,0.61,0.2,0.95
haggle.csv,0.0,0.41,0.98,0.3,0.29,0.43,0.0,0.27,0.15,0.63
ibatisdb.csv,0.31,0.34,0.4,0.0,0.97,0.51,0.0,0.13,0.34,0.61
jas.csv,0.0,0.08,0.03,0.0,0.0,0.02,0.93,0.0,0.0,0.0
mesa3d.csv,0.08,0.24,0.22,0.0,0.1,0.41,0.06,0.53,0.87,0.28
ngl.csv,0.44,0.44,0.7,0.22,0.23,1.0,0.21,0.45,0.36,0.58
pustefix.csv,0.36,1.0,0.25,0.0,0.1,0.21,0.11,0.53,0.35,0.15
scenemonitor.csv,1.0,0.38,0.64,0.13,0.53,0.58,0.22,0.41,0.29,0.67
wsmt.csv,0.3,0.21,0.48,0.13,0.18,0.25,0.02,0.99,0.08,0.3
