,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.36,0.25,0.44,0.0,0.52,0.66,0.07,0.75,0.18,1.0
haggle.csv,0.0,0.33,0.99,0.18,0.31,0.64,0.0,0.6,0.16,0.64
ibatisdb.csv,0.67,0.33,0.66,0.0,1.0,0.64,0.0,0.25,0.3,0.56
jas.csv,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
mesa3d.csv,0.2,0.26,0.53,0.0,0.12,0.72,0.04,0.68,0.95,0.47
ngl.csv,0.5,0.39,0.75,0.12,0.19,1.0,0.12,0.47,0.27,0.52
pustefix.csv,0.28,1.0,0.52,0.0,0.12,0.41,0.07,0.68,0.23,0.31
scenemonitor.csv,1.0,0.29,0.64,0.07,0.37,0.52,0.12,0.38,0.19,0.57
wsmt.csv,0.57,0.25,0.63,0.07,0.19,0.55,0.01,1.0,0.27,0.57
