,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,51.0,84.0,114.0,0.0,140.0,367.0,124.0,64.0,322.0,76.0
coot.csv,8.0,1.0,0.0,64.0,11.0,2.0,14.0,1.0,1.0,0.0
haggle.csv,51.0,3.0,0.0,1.0,1.0,0.0,124.0,0.0,3.0,1.0
ibatisdb.csv,0.0,1.0,2.0,64.0,0.0,0.0,124.0,3.0,2.0,0.0
jas.csv,51.0,1.0,1.0,64.0,140.0,0.0,0.0,64.0,322.0,76.0
mesa3d.csv,0.0,1.0,6.0,64.0,20.0,0.0,12.0,0.0,0.0,0.0
ngl.csv,2.0,4.0,0.0,7.0,15.0,0.0,13.0,0.0,3.0,1.0
pustefix.csv,0.0,0.0,0.0,64.0,16.0,0.0,10.0,0.0,2.0,5.0
scenemonitor.csv,0.0,11.0,1.0,14.0,6.0,1.0,1.0,0.0,18.0,0.0
wsmt.csv,0.0,1.0,0.0,22.0,10.0,0.0,60.0,0.0,1.0,1.0
