,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.94,0.78,0.87,0.62,0.57,0.52,0.0,0.82,0.82,0.87,0.93,0.9,0.88,1.02
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
hydrate.csv,0.85,0.9,0.72,0.97,0.76,0.9,0.9,0.99,0.61,0.83,0.51,0.86,0.0,0.4
ivef-sdk.csv,0.75,0.51,0.71,0.75,0.84,0.0,0.94,1.0,0.76,0.63,1.0,0.89,0.97,0.5
jmri.csv,0.94,0.61,0.04,0.92,0.63,1.01,0.86,0.87,0.91,0.63,0.52,0.78,0.71,0.49
jython.csv,0.72,0.84,0.67,0.68,0.68,0.08,0.82,0.05,0.86,0.65,0.69,1.08,0.77,0.83
kdenlive.csv,0.03,0.59,0.67,1.06,0.74,0.69,0.95,1.0,0.51,0.73,0.67,0.92,0.57,0.87
opentibia.csv,0.72,0.0,0.76,1.0,0.83,0.24,0.61,0.98,0.77,0.72,0.6,0.8,0.7,1.11
projectfactory.csv,0.77,0.71,0.7,0.76,0.8,0.97,0.9,0.55,0.58,0.02,0.85,1.03,0.44,1.03
runuomondains.csv,1.0,0.98,0.99,1.0,1.0,1.0,1.0,0.68,1.0,1.0,0.0,0.97,0.77,1.0
somap.csv,1.0,1.0,0.99,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.98
taverna.csv,0.66,0.6,0.89,0.53,0.04,0.51,0.93,1.2,0.66,0.67,0.79,0.86,0.85,0.63
unbvision.csv,0.58,0.62,0.79,0.7,0.67,1.02,0.93,0.34,0.03,0.63,0.6,0.6,0.56,0.79
x-ray-mule.csv,0.6,0.68,0.86,0.0,0.82,1.0,0.9,0.91,0.82,0.71,0.76,0.78,0.89,0.61
