,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.5,0.99,0.54,0.75,0.42,0.44,0.59,0.47,0.53,0.41,0.4,0.78,0.23,0.64
chrysalis.csv,0.5,0.38,0.11,0.27,0.37,0.17,0.0,0.5,0.33,0.07,0.49,0.27,0.75,0.94
etics.csv,1.0,0.46,0.11,0.57,0.42,0.17,0.7,0.37,0.52,0.29,0.69,0.02,0.64,0.52
flexpay.csv,0.32,0.38,0.0,0.31,0.31,0.43,0.84,0.0,0.91,0.64,0.27,0.0,0.59,0.32
ifmo-game-1.csv,0.0,0.12,0.31,0.0,0.06,1.0,0.0,0.02,0.09,0.0,0.1,0.85,0.09,0.0
jcl.csv,0.0,0.0,0.21,0.22,0.42,0.17,0.0,0.06,0.12,0.07,0.13,0.0,0.88,0.09
linuxsh.csv,0.41,0.42,1.0,0.36,0.0,0.47,0.7,0.39,0.45,0.54,0.45,0.0,0.65,0.33
mvdsv.csv,0.0,0.0,0.0,0.06,0.12,0.0,1.0,0.06,0.0,0.0,0.13,0.0,0.25,0.0
openmeetings.csv,0.64,0.33,0.31,0.96,0.33,0.67,0.92,0.54,0.39,0.22,0.56,0.87,0.63,0.59
plato.csv,0.27,0.42,0.21,0.26,0.48,0.49,0.73,1.0,0.5,0.34,0.41,0.35,0.41,0.39
projecteqemu.csv,0.43,0.15,0.41,0.5,0.17,0.33,0.69,0.12,0.26,0.07,0.95,0.54,0.58,0.18
scite-ru.csv,0.74,0.55,0.59,0.52,0.9,0.65,0.59,0.58,0.3,0.42,0.69,0.0,0.05,0.5
uclmda.csv,0.0,0.3,0.41,0.17,0.06,0.0,0.0,0.06,0.31,0.0,0.0,1.0,0.17,0.05
vrjuggler.csv,0.0,0.32,0.21,0.47,0.33,0.0,0.0,0.46,0.18,0.67,0.46,0.07,0.33,0.0
