,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.26,0.01,0.49,0.18,0.25,0.51,0.59,0.62,0.65,0.37,0.53,0.5,0.56,0.51
chrysalis.csv,0.6,0.17,0.07,0.15,0.27,0.09,0.05,0.5,0.18,0.14,0.11,0.5,0.38,0.0
etics.csv,0.0,0.5,0.02,0.33,0.29,0.17,0.17,0.25,0.3,0.25,0.2,0.5,0.36,0.26
flexpay.csv,0.81,0.88,0.0,0.91,0.9,0.57,0.49,1.0,0.0,0.69,0.6,0.33,0.71,0.89
ifmo-game-1.csv,0.05,0.1,0.18,0.05,0.06,0.0,0.0,0.38,0.16,0.03,0.0,0.0,0.2,0.09
jcl.csv,0.0,0.02,0.05,0.0,0.83,0.1,0.05,0.0,0.02,0.03,0.29,0.0,0.0,0.01
linuxsh.csv,0.86,0.84,0.0,0.89,1.0,0.83,0.68,0.88,0.41,0.8,0.84,1.0,0.51,0.9
mvdsv.csv,0.0,0.0,0.04,0.01,0.13,0.0,0.0,0.12,0.0,0.0,0.02,0.0,0.11,0.0
openmeetings.csv,0.26,0.3,0.25,0.0,0.27,0.44,0.3,0.62,0.31,0.22,0.31,0.33,0.39,0.28
plato.csv,0.93,0.86,0.49,0.91,0.79,0.82,0.65,0.0,0.78,0.9,0.82,0.67,0.86,0.87
projecteqemu.csv,0.07,0.03,0.07,0.1,0.04,0.13,0.21,0.12,0.12,0.1,0.0,0.33,0.37,0.04
scite-ru.csv,0.52,0.77,0.55,0.8,0.08,0.51,0.59,0.62,0.92,0.63,0.4,1.0,0.99,0.75
uclmda.csv,0.0,0.29,0.18,0.36,0.0,0.03,0.11,0.25,0.32,0.0,0.0,0.0,0.14,0.04
vrjuggler.csv,0.0,0.3,0.22,0.43,0.27,0.08,0.0,0.5,0.15,0.0,0.31,0.17,0.21,0.23
