,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.35,0.99,0.18,0.4,0.38,0.07,0.1,0.81,0.16,0.21,0.37,0.98,0.05,0.22
chrysalis.csv,0.22,0.67,0.2,0.2,0.33,0.12,0.0,0.84,0.26,0.11,0.76,0.93,0.22,1.0
etics.csv,1.0,0.47,0.5,0.21,0.35,0.07,0.27,0.88,0.26,0.21,0.73,0.5,0.2,0.27
flexpay.csv,0.13,0.49,0.0,0.13,0.23,0.06,0.16,0.83,0.98,0.25,0.25,0.0,0.13,0.12
ifmo-game-1.csv,0.0,0.5,0.23,0.0,0.25,1.0,0.0,0.25,0.08,0.0,1.0,1.0,0.05,0.0
jcl.csv,0.0,0.0,0.4,1.0,0.25,0.11,0.0,1.0,0.56,0.33,0.24,0.0,1.0,0.67
linuxsh.csv,0.22,0.45,1.0,0.13,0.26,0.09,0.12,0.84,0.18,0.24,0.44,0.95,0.16,0.15
mvdsv.csv,0.0,0.0,0.0,0.5,0.22,0.0,1.0,0.67,0.0,0.0,0.8,0.0,0.21,0.0
openmeetings.csv,0.42,0.49,0.18,1.0,0.3,0.13,0.24,0.83,0.19,0.19,0.58,0.99,0.18,0.28
plato.csv,0.25,0.49,0.07,0.08,0.27,0.09,0.13,1.0,0.16,0.21,0.37,0.93,0.11,0.15
projecteqemu.csv,0.62,0.8,0.5,0.43,0.6,0.17,0.24,0.8,0.28,0.14,1.0,0.98,0.17,0.4
scite-ru.csv,0.33,0.52,0.19,0.15,0.83,0.11,0.1,0.85,0.17,0.16,0.59,0.96,0.12,0.15
uclmda.csv,0.0,0.47,0.29,0.06,1.0,0.0,0.0,0.5,0.15,0.0,0.0,1.0,0.12,0.14
vrjuggler.csv,0.0,0.48,0.14,0.15,0.3,0.0,0.0,0.83,0.17,1.0,0.52,0.91,0.16,0.0
