,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.67,0.4,1.0,0.69,0.0,0.67,0.47,0.29,0.6,0.58,0.25,0.31,0.33,1.0
boost-sandbox.csv,0.39,0.67,0.21,0.47,0.8,0.81,0.08,0.13,0.37,0.48,0.42,0.36,0.0,0.95
customwars.csv,0.42,0.8,0.95,0.6,0.91,0.69,0.0,0.21,0.58,0.88,0.43,0.62,0.21,0.98
dvd-create.csv,0.4,0.69,0.16,0.51,0.95,0.72,0.0,0.15,0.54,0.51,0.43,0.41,0.12,0.99
frogatto.csv,0.29,0.68,0.78,0.56,0.85,0.69,0.22,0.2,0.53,0.72,0.39,0.28,0.16,0.99
glelite.csv,0.29,0.65,0.17,0.56,0.81,0.68,0.22,0.18,0.45,0.55,0.39,0.26,0.11,1.0
go.csv,0.31,0.82,0.13,0.51,0.91,0.75,0.0,0.17,0.57,0.76,0.5,0.44,0.1,0.99
irplus.csv,0.47,0.8,1.0,0.6,0.94,0.77,0.41,0.26,0.65,0.68,0.57,0.64,0.33,1.0
lsb.csv,0.29,0.6,0.64,0.6,0.81,0.8,0.0,0.15,0.69,0.56,0.37,0.26,0.1,0.98
moving-pictures.csv,0.42,0.94,1.0,0.58,1.0,0.71,0.0,0.17,0.67,0.63,0.4,0.93,0.22,1.0
mpgravity.csv,0.29,0.77,0.23,0.73,0.82,0.74,0.62,0.15,0.47,0.56,0.34,0.27,0.11,0.98
plearn.csv,0.38,1.0,0.0,0.0,1.0,0.0,0.25,0.17,0.52,0.61,0.39,0.22,0.0,0.96
rebecca-aiml.csv,0.43,0.77,0.34,0.57,0.94,0.66,0.0,0.15,0.53,0.71,0.37,0.71,0.13,1.0
wxcode.csv,0.44,0.91,0.83,0.54,1.0,0.82,0.39,0.28,0.5,1.0,0.53,0.18,0.32,1.0
