,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.91,0.46,0.96,0.01,0.82,0.85,0.37,0.63,0.79,0.72
cities3d.csv,0.49,0.97,0.66,0.78,0.81,0.0,0.72,0.42,0.27,0.33
firebird.csv,0.3,0.29,0.04,0.44,0.22,0.35,0.59,0.74,0.73,0.49
hydrogen.csv,0.11,0.14,0.27,0.25,0.16,0.15,0.0,0.26,0.12,0.09
lphant.csv,0.52,0.51,0.61,0.49,0.63,0.85,0.61,0.51,0.0,0.55
open-ms.csv,0.41,0.94,0.68,0.74,0.47,0.35,0.46,0.19,0.39,0.0
qgo.csv,0.19,0.03,0.23,0.25,0.01,0.31,0.1,0.37,0.52,0.3
rhex.csv,0.0,0.09,0.58,0.06,0.37,0.07,0.02,0.05,0.18,0.03
xined.csv,0.16,0.83,0.22,0.62,0.28,0.13,0.15,0.0,0.09,0.1
yield.csv,0.7,0.63,0.59,0.67,0.04,0.75,0.68,0.84,0.55,0.72
