,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.92,0.5,0.97,0.07,0.9,0.87,0.48,0.87,0.79,0.74
cities3d.csv,0.7,0.98,0.76,0.86,0.97,0.11,0.84,0.73,0.82,0.73
firebird.csv,0.81,0.49,0.04,0.56,0.67,0.48,0.7,0.75,0.78,0.71
hydrogen.csv,0.59,0.49,0.67,0.69,0.83,0.41,0.06,0.75,0.78,0.8
lphant.csv,0.67,0.69,0.71,0.62,0.67,0.85,0.66,0.59,0.05,0.68
open-ms.csv,0.78,0.95,0.74,0.8,0.75,0.74,0.88,0.92,0.71,0.1
qgo.csv,0.53,0.04,0.54,0.56,0.79,0.49,0.63,0.55,0.69,0.56
rhex.csv,0.0,0.64,0.77,0.82,0.86,0.65,0.81,0.8,0.88,0.78
xined.csv,0.77,0.86,0.74,0.77,0.84,0.56,0.58,0.0,0.87,0.75
yield.csv,0.72,0.65,0.67,0.71,0.05,0.76,0.68,0.86,0.59,0.74
