,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,17.0,8.0,0.0,0.0,8.0,44.0,17.0,15.0,0.0,14.0
cities3d.csv,18.0,18.0,0.0,8.0,8.0,0.0,5.0,0.0,0.0,14.0
firebird.csv,9.0,4.0,0.0,1.0,3.0,17.0,5.0,0.0,9.0,9.0
hydrogen.csv,3.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0
lphant.csv,20.0,11.0,0.0,6.0,6.0,33.0,4.0,0.0,0.0,21.0
open-ms.csv,13.0,11.0,0.0,8.0,5.0,54.0,5.0,3.0,8.0,0.0
qgo.csv,6.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,3.0,3.0
rhex.csv,0.0,0.0,0.0,0.0,10.0,16.0,2.0,2.0,5.0,0.0
xined.csv,11.0,13.0,0.0,6.0,8.0,36.0,10.0,0.0,3.0,2.0
yield.csv,23.0,2.0,3.0,1.0,0.0,28.0,3.0,0.0,4.0,14.0
