,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.13,0.6,0.48,0.97,0.42,0.08,0.23,0.13,0.43,0.22
cities3d.csv,0.13,0.43,0.51,0.31,0.35,0.97,0.11,0.18,0.36,0.21
firebird.csv,0.11,0.64,0.96,0.45,0.61,0.15,0.14,0.22,0.4,0.2
hydrogen.csv,0.36,0.76,0.61,0.44,0.52,0.28,1.0,0.21,0.56,0.37
lphant.csv,0.14,0.47,0.53,0.41,0.54,0.1,0.16,0.24,1.0,0.22
open-ms.csv,0.11,0.46,0.53,0.35,0.45,0.09,0.08,0.11,0.41,1.0
qgo.csv,0.29,0.97,0.71,0.52,0.93,0.16,0.38,0.27,0.41,0.31
rhex.csv,1.0,0.79,0.48,0.62,0.36,0.32,0.6,0.5,0.33,0.62
xined.csv,0.19,0.44,0.6,0.33,0.41,0.25,0.32,1.0,0.5,0.4
yield.csv,0.15,0.53,0.56,0.39,0.95,0.1,0.18,0.18,0.49,0.23
