,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.32,0.73,0.17,0.94,0.42,0.43,0.68,0.39,0.55,0.59
cities3d.csv,0.5,0.13,0.53,0.46,0.36,0.91,0.47,0.43,0.27,0.39
firebird.csv,0.29,0.62,0.98,0.62,0.41,0.67,0.56,0.6,0.54,0.49
hydrogen.csv,0.47,0.57,0.43,0.4,0.22,0.66,0.95,0.34,0.27,0.24
lphant.csv,0.56,0.52,0.57,0.59,0.64,0.46,0.63,0.64,0.96,0.57
open-ms.csv,0.36,0.24,0.57,0.53,0.43,0.39,0.28,0.12,0.44,0.92
qgo.csv,0.54,0.97,0.56,0.54,0.25,0.63,0.43,0.61,0.53,0.56
rhex.csv,1.0,0.42,0.47,0.21,0.25,0.4,0.23,0.24,0.17,0.26
xined.csv,0.29,0.45,0.34,0.5,0.24,0.51,0.49,1.0,0.17,0.3
yield.csv,0.61,0.66,0.61,0.62,0.97,0.58,0.68,0.44,0.67,0.59
