,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.92,0.8,0.81,0.93,0.63,0.81,0.69,0.4,0.91,0.81
cities3d.csv,0.5,0.87,0.62,0.63,0.46,0.89,0.56,0.4,0.23,0.35
firebird.csv,0.25,0.6,0.99,0.64,0.37,0.68,0.62,0.9,0.73,0.49
hydrogen.csv,0.42,0.53,0.39,0.36,0.19,0.62,0.94,0.3,0.23,0.2
lphant.csv,0.58,0.53,0.65,0.62,0.79,0.97,0.75,0.7,0.95,0.61
open-ms.csv,0.33,0.93,0.71,0.71,0.41,0.35,0.25,0.1,0.41,0.9
qgo.csv,0.5,0.97,0.52,0.5,0.21,0.62,0.38,0.6,0.55,0.53
rhex.csv,1.0,0.37,0.49,0.18,0.22,0.35,0.19,0.2,0.14,0.22
xined.csv,0.25,0.77,0.3,0.55,0.21,0.46,0.44,1.0,0.14,0.26
yield.csv,0.83,0.83,0.69,0.79,0.97,0.86,0.94,0.8,0.77,0.82
