,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.23,0.69,0.6,0.95,0.5,0.15,0.34,0.2,0.59,0.35
cities3d.csv,0.21,0.58,0.56,0.41,0.39,0.93,0.19,0.25,0.28,0.26
firebird.csv,0.15,0.62,0.98,0.53,0.46,0.25,0.24,0.35,0.52,0.29
hydrogen.csv,0.38,0.63,0.48,0.4,0.28,0.39,0.97,0.25,0.32,0.26
lphant.csv,0.23,0.5,0.58,0.5,0.64,0.18,0.27,0.36,0.98,0.32
open-ms.csv,0.16,0.62,0.61,0.47,0.43,0.14,0.12,0.11,0.41,0.95
qgo.csv,0.36,0.97,0.6,0.51,0.34,0.25,0.38,0.37,0.47,0.39
rhex.csv,1.0,0.5,0.48,0.29,0.27,0.33,0.29,0.29,0.19,0.33
xined.csv,0.21,0.56,0.4,0.41,0.27,0.32,0.37,1.0,0.21,0.31
yield.csv,0.25,0.65,0.62,0.53,0.96,0.18,0.3,0.3,0.6,0.35
