,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.42,0.47,0.43,0.64,0.54,0.38,0.56,0.48,0.39,0.46
cities3d.csv,0.78,0.4,0.59,0.55,0.65,0.97,0.69,0.77,0.93,0.9
firebird.csv,0.74,0.57,0.48,0.51,0.68,0.55,0.62,0.37,0.42,0.59
hydrogen.csv,0.79,0.48,0.51,0.67,0.83,0.73,0.8,0.57,0.89,0.98
lphant.csv,0.53,0.5,0.5,0.51,0.54,0.35,0.68,0.48,0.52,0.52
open-ms.csv,0.81,0.39,0.49,0.52,0.78,0.8,0.94,0.78,0.64,0.91
qgo.csv,0.57,0.43,0.44,0.5,0.86,0.57,0.69,0.41,0.41,0.56
rhex.csv,0.92,0.64,0.56,0.99,0.9,0.98,0.8,0.75,0.89,0.97
xined.csv,0.94,0.4,0.78,0.56,0.97,0.93,0.64,0.9,0.83,0.93
yield.csv,0.42,0.36,0.36,0.42,0.53,0.38,0.54,0.39,0.4,0.4
