,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.66,0.58,0.5,0.57,0.98,0.83,0.73,0.67,0.95,0.8,0.53,0.58,0.6,0.56,0.5,0.67,0.99,0.45
archive-crawler.csv,0.45,0.74,0.48,0.79,0.97,0.87,0.51,0.58,0.44,0.65,0.45,0.57,0.53,0.43,0.46,0.91,0.79,0.52
customwars.csv,0.4,0.34,0.5,0.3,0.97,0.59,0.47,0.45,0.42,0.47,0.5,0.36,0.44,0.26,0.45,0.4,0.36,0.47
gbif-providertoolkit.csv,0.59,0.66,0.39,0.65,0.5,0.53,0.76,0.42,0.52,0.51,0.5,0.63,0.94,0.86,0.7,0.52,0.93,0.4
gss.csv,0.4,0.34,0.33,0.29,0.45,0.31,0.41,0.37,0.34,0.36,0.31,0.37,0.5,0.31,0.38,0.44,0.31,0.39
heekscad.csv,0.37,0.4,0.44,0.37,0.44,0.38,0.5,0.38,0.5,0.41,0.39,0.41,0.4,0.41,0.41,0.38,0.35,0.39
ikvm.csv,0.68,0.57,0.64,0.48,0.57,0.38,0.59,0.72,0.53,0.6,0.49,0.44,0.74,0.5,0.77,0.51,0.77,0.37
jaxen.csv,0.53,0.42,0.52,0.35,0.58,0.41,0.56,0.51,0.79,0.52,0.37,0.42,0.73,0.32,0.59,0.5,0.69,0.37
jcae.csv,0.44,0.85,0.6,0.6,0.64,0.88,0.57,0.8,0.58,0.47,0.48,0.42,0.56,0.56,0.53,0.48,0.96,0.5
levent.csv,0.49,0.93,0.86,0.55,0.5,0.43,0.49,0.45,0.49,0.48,0.34,0.49,0.52,0.32,0.45,0.81,0.86,0.34
nicepress.csv,0.47,0.37,0.58,0.59,0.49,0.41,0.5,0.45,0.41,0.49,0.38,0.45,0.59,0.35,0.46,0.46,0.47,0.69
pnotepad.csv,0.39,0.36,0.33,0.3,0.49,0.34,0.46,0.42,0.4,0.46,0.34,0.38,0.5,0.31,0.43,0.42,0.34,0.46
qcad2.csv,0.71,0.57,0.46,0.43,0.77,0.92,0.5,0.68,0.74,0.92,0.56,0.44,0.55,0.33,0.47,0.87,0.59,0.43
qedo.csv,0.92,0.96,0.58,0.51,0.76,0.71,0.98,0.5,0.84,0.79,0.5,0.75,0.91,0.83,0.93,0.53,0.77,0.79
quarkplusplus.csv,0.69,0.92,0.59,0.48,0.64,0.89,0.55,0.95,0.43,0.72,0.61,0.59,0.5,0.69,0.54,0.61,0.53,0.89
sigil.csv,0.4,0.43,0.65,0.62,0.67,0.6,0.43,0.54,0.41,0.48,0.36,0.45,0.52,0.39,0.43,0.5,0.51,0.42
xcsoar.csv,0.36,0.38,0.47,0.38,0.75,0.42,0.44,0.5,0.57,0.47,0.34,0.35,0.56,0.37,0.42,0.6,0.39,0.5
xuggle.csv,0.44,0.36,0.54,0.31,0.68,0.44,0.67,0.56,0.67,0.47,0.52,0.43,0.53,0.31,0.47,0.48,0.42,0.46
