,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.63,0.32,0.59,1.0,1.0,0.92,0.8,0.6,0.86,0.37
aubit4gl.csv,0.97,0.68,0.67,0.93,0.48,0.96,0.72,0.97,0.38,0.93
liferea.csv,0.59,0.95,0.6,0.37,0.8,0.56,0.81,0.58,0.89,0.87
moving-pictures.csv,0.66,0.69,0.68,0.88,1.0,0.88,0.46,0.94,0.85,0.84
opensim4opencog.csv,0.5,0.88,0.45,0.39,0.67,0.47,0.5,0.58,0.53,0.6
plearn.csv,0.51,0.92,0.54,1.0,0.98,0.66,0.83,0.95,0.88,0.78
psrchive.csv,0.55,0.51,0.41,0.78,0.78,0.7,0.61,0.83,0.4,0.68
re2c.csv,0.7,0.02,0.66,0.74,0.83,0.84,0.69,0.69,0.54,0.92
rebecca-aiml.csv,0.64,0.48,0.59,0.7,0.69,0.71,0.81,0.62,0.19,0.51
xfce.csv,0.53,1.09,0.57,0.66,0.77,0.72,0.71,0.52,0.64,0.71
