,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.16,0.27,0.13,0.0,0.0,0.08,0.16,0.31,0.66,0.17
aubit4gl.csv,0.02,0.12,0.19,0.07,0.38,0.11,0.03,0.04,0.3,0.04
liferea.csv,0.52,0.45,0.48,0.3,0.42,0.21,0.19,0.38,0.17,0.25
moving-pictures.csv,0.26,0.18,0.47,0.25,0.02,0.13,0.29,0.04,0.02,0.08
opensim4opencog.csv,0.26,0.57,0.35,0.36,0.54,0.31,0.35,0.18,0.11,0.33
plearn.csv,0.42,0.63,0.45,0.0,0.04,0.27,0.48,0.0,0.73,0.33
psrchive.csv,0.36,0.12,0.2,0.68,0.77,0.51,0.35,0.79,0.27,0.25
re2c.csv,0.23,0.02,0.51,0.41,0.29,0.58,0.61,0.3,0.48,0.51
rebecca-aiml.csv,0.36,0.45,0.57,0.68,0.67,0.56,0.81,0.17,0.14,0.35
xfce.csv,0.34,0.86,0.49,0.25,0.44,0.69,0.65,0.42,0.45,0.63
