,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.44,0.4,0.4,0.0,0.0,0.1,0.31,0.6,0.29,0.56
aubit4gl.csv,0.06,0.29,0.3,0.12,0.69,0.05,0.43,0.05,0.61,0.11
liferea.csv,0.48,0.07,0.31,0.56,0.37,0.32,0.3,0.65,0.17,0.15
moving-pictures.csv,0.38,0.24,0.25,0.15,0.0,0.12,0.65,0.11,0.25,0.22
opensim4opencog.csv,0.52,0.11,0.4,0.55,0.58,0.34,0.63,0.59,0.55,0.34
plearn.csv,0.52,0.1,0.34,0.0,0.04,0.24,0.35,0.1,0.31,0.22
psrchive.csv,0.48,0.4,0.47,0.31,0.68,0.2,0.53,0.71,0.59,0.3
re2c.csv,0.36,0.92,0.27,0.28,0.3,0.14,0.58,0.5,0.52,0.13
rebecca-aiml.csv,0.4,0.29,0.35,0.41,0.68,0.2,0.64,0.55,0.78,0.4
xfce.csv,0.49,0.08,0.33,0.34,0.42,0.23,0.59,0.73,0.42,0.3
