,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.8,1.0,0.73,0.95,0.93
elmo.csv,0.8,0.43,0.62,0.78,0.46
mscore.csv,0.4,0.86,0.9,0.95,0.66
tolven.csv,0.0,0.33,0.64,0.78,0.19
xbplayer.csv,0.2,0.76,0.52,0.95,0.45
