,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.32,0.11,0.37,0.6,0.2,0.09,0.09,0.06,0.1,0.19
flylegacy.csv,0.58,0.63,0.72,0.57,0.46,0.53,0.21,0.41,0.5,0.54
jguard.csv,0.57,0.48,0.59,0.6,0.63,0.67,0.21,0.66,0.35,0.5
m-a-d-n-e-s-s.csv,0.28,0.04,0.37,0.3,0.06,0.04,0.0,0.1,0.71,0.15
mob-sen-plat.csv,0.62,0.75,0.55,0.45,0.59,0.48,0.57,0.66,0.73,0.47
raygina.csv,0.78,0.04,0.53,0.48,0.32,0.34,0.56,0.3,0.74,0.5
st-filteredstatistics.csv,0.21,0.21,0.54,0.55,0.61,0.41,0.37,0.76,0.62,0.53
upp-mirror.csv,0.36,0.07,0.53,0.24,0.66,0.34,0.17,0.4,0.47,0.52
wishmaster.csv,0.32,0.18,0.5,0.38,0.58,0.37,0.59,0.18,0.52,0.36
yarp.csv,0.48,0.15,0.59,0.45,0.04,0.47,0.32,0.26,0.56,0.64
