,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.55,0.27,0.48,0.8,0.26,0.42,0.64,0.15,0.07,0.67,0.73,0.69,0.0
autofac.csv,0.65,0.15,0.79,0.53,0.61,0.43,0.68,0.23,0.08,0.49,0.67,0.45,0.0
coot.csv,0.89,0.15,0.3,0.64,0.44,0.44,0.02,0.17,0.06,0.49,0.72,0.62,0.11
dsworkbench.csv,0.46,0.79,0.22,0.39,0.15,0.28,0.54,0.17,0.0,0.31,0.25,0.37,0.0
emono.csv,0.85,0.4,0.45,0.69,0.44,0.47,0.38,0.13,0.06,0.53,0.65,0.74,0.17
exist.csv,0.78,0.76,0.64,0.82,0.41,0.52,0.78,0.19,0.03,0.56,0.67,0.77,0.18
freelords.csv,0.91,0.85,0.62,0.77,0.55,0.4,0.74,0.28,0.1,0.48,0.65,0.67,0.11
google-collections.csv,0.9,0.86,0.64,0.84,0.45,0.51,0.72,0.22,0.06,0.54,0.68,0.79,0.11
jchassis.csv,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.36,0.0,0.0,0.0,0.0
jpaul.csv,0.56,0.78,0.44,0.15,0.68,0.32,0.31,0.26,0.19,0.56,0.05,0.0,0.0
neodatis-odb.csv,0.72,0.5,0.51,0.29,0.34,0.62,0.47,0.3,0.05,0.21,0.58,0.44,0.22
octet.csv,0.64,0.67,0.52,0.55,0.28,0.48,0.72,0.52,0.0,0.44,0.56,0.65,0.07
thedata.csv,0.87,0.69,0.54,0.64,0.35,0.46,0.59,0.16,0.0,0.5,0.67,0.64,0.73
