,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.7,0.33,0.2,0.4,0.56,0.35,0.38,0.62,0.5,0.68,0.57,0.33,0.73,0.77,0.75,0.8,0.7,0.59,0.22,0.57
cornerstone.csv,0.54,0.28,0.29,0.38,0.35,0.41,0.09,0.36,0.06,0.06,0.71,0.53,0.46,0.51,0.15,0.75,0.58,0.39,0.31,0.36
emeraldemu.csv,0.56,0.31,0.15,0.26,0.3,0.26,0.46,0.66,0.41,0.61,0.59,0.13,0.36,0.05,0.65,0.16,0.6,0.13,0.24,0.5
grafx2.csv,0.64,0.33,0.18,0.39,0.45,0.45,0.5,0.59,0.5,0.7,0.59,0.51,0.72,0.8,0.82,0.84,0.67,0.59,0.25,0.61
jahshakafx.csv,0.67,0.34,0.17,0.32,0.48,0.39,0.48,0.58,0.54,0.59,0.62,0.29,0.7,0.6,0.73,0.8,0.71,0.54,0.23,0.59
kindb.csv,0.66,0.31,0.2,0.34,0.69,0.57,0.5,0.57,0.57,0.72,0.62,0.49,0.8,0.48,0.69,0.89,0.72,0.33,0.17,0.63
maya-work-in-progress.csv,0.54,0.29,0.15,0.38,0.88,0.7,0.47,0.52,0.58,0.8,0.69,0.5,0.85,0.71,0.78,0.84,0.74,0.49,0.08,0.63
netatalk.csv,0.6,0.23,0.12,0.24,0.53,0.59,0.45,0.48,0.55,0.63,0.55,0.29,0.8,0.69,0.83,0.79,0.67,0.53,0.09,0.59
novembre.csv,0.67,0.32,0.17,0.18,0.33,0.5,0.56,0.53,0.52,0.52,0.55,0.28,0.39,0.45,0.7,0.43,0.71,0.37,0.32,0.58
ns-3.csv,0.48,0.32,0.09,0.34,0.59,0.72,0.44,0.37,0.45,0.53,0.6,0.43,0.84,0.66,0.65,0.76,0.72,0.43,0.07,0.59
nullc.csv,0.53,0.21,0.11,0.23,0.8,0.56,0.49,0.5,0.51,0.45,0.61,0.4,0.75,0.73,0.71,0.75,0.69,0.31,0.15,0.54
open-beos.csv,0.68,0.32,0.19,0.28,0.59,0.57,0.44,0.53,0.62,0.56,0.42,0.44,0.74,0.71,0.8,0.83,0.72,0.49,0.15,0.59
pixel-commandos.csv,0.07,0.21,0.11,0.2,0.31,0.26,0.5,0.29,0.24,0.17,0.1,0.0,0.28,0.48,0.58,0.47,0.47,0.33,0.57,0.33
planeshift.csv,0.47,0.23,0.11,0.23,0.78,0.7,0.42,0.55,0.57,0.65,0.58,0.44,0.78,0.74,0.8,0.82,0.71,0.49,0.1,0.56
plee-the-bear.csv,0.65,0.29,0.29,0.07,0.6,0.64,0.39,0.39,0.55,0.7,0.54,0.43,0.68,0.63,0.64,0.66,0.6,0.36,0.14,0.5
reaper-ecad.csv,0.59,0.32,0.26,0.41,0.46,0.08,0.24,0.5,0.3,0.06,0.38,0.0,0.5,0.05,0.51,0.38,0.62,0.25,0.33,0.36
sbml.csv,0.57,0.32,0.14,0.31,0.61,0.66,0.44,0.49,0.62,0.56,0.73,0.46,0.81,0.75,0.79,0.83,0.71,0.44,0.08,0.58
unimrcp.csv,0.54,0.28,0.19,0.38,0.62,0.54,0.47,0.58,0.46,0.69,0.59,0.54,0.71,0.65,0.64,0.79,0.7,0.5,0.15,0.61
unladen-swallow.csv,0.27,0.29,0.21,0.06,0.27,0.47,0.34,0.37,0.46,0.6,0.41,0.51,0.48,0.55,0.28,0.57,0.57,0.53,0.1,0.26
xmoto.csv,0.57,0.29,0.19,0.19,0.68,0.63,0.5,0.54,0.52,0.62,0.59,0.32,0.58,0.54,0.73,0.85,0.7,0.41,0.13,0.7
