,f1,g,recall,precision,pf,wins
atomsite.csv,0.37,0.525,0.5449999999999999,0.58,0.405,10
baadengine.csv,0.54,0.485,0.94,0.38,0.77,9
chaosrts.csv,0.495,0.495,0.495,0.47,0.395,8
chaperon.csv,0.325,0.44,0.4,0.475,0.25,4
empyrean.csv,0.0,0.0,0.0,0.0,0.0,0
hydrate.csv,0.37,0.475,0.475,0.395,0.345,3
jaxlib.csv,0.31,0.35,0.31,0.44,0.255,1
joustsim.csv,0.415,0.55,0.645,0.435,0.41,11
loki-lib.csv,0.355,0.49,0.5349999999999999,0.43,0.33499999999999996,7
owlapi.csv,0.48,0.47,0.485,0.41500000000000004,0.4,5
pamguard.csv,0.35,0.44,0.525,0.38,0.515,2
poormans.csv,0.39,0.375,0.485,0.5700000000000001,0.36,6
