,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.75,0.42,0.4,0.36,0.43,0.45,0.57,0.4,0.75,0.41,0.42,0.41
baadengine.csv,0.5,0.42,0.34,0.31,0.29,0.42,0.45,0.37,0.44,0.36,0.38,0.37
chaosrts.csv,0.49,0.6,0.48,0.49,0.42,0.48,0.56,0.44,0.54,0.74,0.48,0.35
chaperon.csv,0.63,0.9,0.45,0.41,0.5,0.86,0.65,0.91,0.68,0.49,0.92,0.65
empyrean.csv,0.0,0.55,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.56,0.94,0.39,0.59,0.33,0.5,0.46,0.69,0.62,0.42,0.7,0.39
jaxlib.csv,0.59,0.56,0.67,0.94,0.8,0.54,0.96,0.58,0.65,0.95,0.45,0.73
joustsim.csv,0.58,0.47,0.33,0.78,0.61,0.47,0.49,0.58,0.51,0.5,0.76,0.46
loki-lib.csv,0.81,0.48,0.5,0.8,0.41,0.5,0.53,0.53,0.5,0.52,0.53,0.46
owlapi.csv,0.42,0.78,0.9,0.5,0.43,0.67,0.6,0.64,0.94,0.47,0.46,0.62
pamguard.csv,0.61,0.61,0.54,0.43,0.39,0.58,0.59,0.67,0.65,0.57,0.4,0.58
poormans.csv,0.59,0.97,0.58,0.31,0.3,0.75,0.42,0.57,0.0,0.5,0.42,0.37
