,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.24,0.53,0.64,0.62,0.51,0.27,0.36,0.72,0.12,0.66,0.52,0.65
baadengine.csv,0.75,0.41,0.56,0.24,0.17,0.28,0.57,0.86,0.17,0.82,0.65,0.21
chaosrts.csv,0.66,0.48,0.49,0.52,0.5,0.28,0.45,0.76,0.62,0.42,0.78,0.49
chaperon.csv,0.45,0.24,0.52,0.59,0.0,0.99,0.48,0.21,0.37,0.54,0.19,0.43
empyrean.csv,0.0,0.71,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.3,0.19,0.69,0.45,0.39,0.53,0.72,0.5,0.38,0.72,0.21,0.71
jaxlib.csv,0.33,0.37,0.0,0.18,0.99,0.43,0.19,0.46,0.42,0.28,0.69,0.28
joustsim.csv,0.32,0.58,0.67,0.29,0.91,0.52,0.53,0.82,0.47,0.69,0.24,0.57
loki-lib.csv,0.5,0.58,0.31,0.28,0.48,0.29,0.4,0.41,0.69,0.61,0.72,0.58
owlapi.csv,0.0,0.44,0.17,0.52,0.0,0.0,0.79,0.5,0.25,0.61,0.51,0.56
pamguard.csv,0.61,0.55,0.39,0.73,0.0,0.5,0.5,0.26,0.35,0.45,0.37,0.43
poormans.csv,0.43,0.33,0.47,0.55,0.0,0.0,0.55,0.31,0.04,0.7,0.42,0.21
