,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,443.0,501.5,577.5,97.5,740.5,95.5,87.5,0.0,72.5,190.5,111.5,97.5,97.5,195.0
bdbbasic.csv,287.5,1618.0,3268.0,97.5,176.0,193.0,111.0,90.5,98.5,197.5,68.5,97.5,98.5,195.0
echongl.csv,383.5,265.5,1544.0,97.5,849.5,193.0,92.5,98.5,188.0,98.5,349.0,97.5,99.0,96.5
etherboot.csv,95.0,275.5,0.0,97.5,747.5,76.5,0.0,98.5,190.0,0.0,825.0,0.0,0.0,293.5
ffigo.csv,291.0,276.0,822.5,97.5,654.5,194.5,95.5,24.5,194.0,197.5,43.5,97.5,72.5,169.0
freebios.csv,387.5,246.5,1838.5,97.5,567.0,371.5,290.5,97.5,390.0,197.5,612.0,99.0,850.0,89.5
gebr.csv,387.5,1328.5,1737.0,97.5,743.0,99.0,586.0,98.5,98.5,197.5,1751.0,99.0,99.0,293.5
gnukeda.csv,191.0,459.0,3198.0,97.5,560.0,95.5,192.0,93.5,190.0,192.5,482.0,89.5,97.5,293.5
gstreamer.csv,192.0,1328.5,4203.0,97.5,655.5,99.0,388.5,98.5,98.5,197.5,1642.0,98.5,99.0,293.5
jnode.csv,85.0,460.0,1755.0,94.5,385.0,112.5,92.5,189.0,158.0,93.5,614.5,86.5,93.5,141.0
metacosm.csv,64.5,809.5,1646.0,162.0,343.5,94.5,80.5,98.5,74.5,98.5,448.5,97.5,98.5,195.0
openmeetings.csv,291.0,182.0,959.5,83.5,458.5,94.5,36.5,98.5,74.5,197.5,733.0,97.5,98.5,190.0
pgui.csv,94.5,1328.5,0.0,97.5,556.0,99.0,184.0,98.5,98.5,93.5,263.5,0.0,0.0,293.5
wxcrp.csv,192.0,1328.5,1352.5,97.5,849.5,99.0,484.5,98.5,98.5,98.5,2120.5,98.5,99.0,293.5
