,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,98.5,297.0,189.0,375.0,344.5,87.5,443.0,84.5,390.5,1768.5,97.5,375.5,338.0,245.5,59.5
biodwh.csv,98.5,198.0,95.5,571.5,266.0,181.0,364.5,212.5,147.0,97.5,89.5,0.0,285.5,166.0,98.5
brlcad.csv,98.5,594.0,189.0,265.5,175.5,173.0,45.5,152.0,784.5,146.0,97.5,92.5,250.5,97.5,93.5
delphilhlplib.csv,98.5,198.0,193.0,188.0,763.5,637.5,379.5,90.5,1316.5,99.0,97.5,294.0,93.5,88.5,98.5
exordium.csv,98.5,198.0,192.0,471.5,90.5,192.0,1129.5,198.0,1058.0,1215.0,97.5,390.5,495.0,276.5,98.5
fltk.csv,98.5,198.0,189.0,188.0,380.0,632.5,696.5,93.5,1499.0,99.0,97.5,489.0,93.5,88.5,98.5
gzigzag.csv,98.5,99.0,189.0,187.0,88.5,179.0,356.5,283.0,523.0,99.0,97.5,194.0,93.5,186.0,98.5
jcache.csv,98.5,495.0,193.0,848.5,757.5,386.0,756.0,197.5,1325.5,99.0,97.5,294.0,93.5,183.0,98.5
mimosa.csv,98.5,594.0,193.0,378.0,855.0,1019.5,1111.0,198.0,1578.0,99.0,97.5,483.0,190.0,188.0,98.5
moast.csv,98.5,594.0,95.5,278.5,569.5,386.0,855.0,198.0,310.0,99.0,96.5,386.5,384.0,282.5,93.5
mptvseries.csv,98.5,198.0,0.0,256.5,165.0,87.5,618.5,83.5,448.0,98.5,97.5,0.0,159.0,88.5,98.5
ogre.csv,132.0,198.0,188.0,859.0,759.5,386.0,1498.5,99.0,1296.5,99.0,97.5,1058.5,93.5,277.5,98.5
qdvdauthor.csv,98.5,594.0,66.5,1041.0,665.0,635.5,1109.5,197.5,1192.0,99.0,97.5,92.5,285.5,183.0,255.5
sauerbraten.csv,98.5,594.0,90.5,1233.0,951.5,922.0,1757.0,198.0,1578.5,99.0,97.5,865.5,384.0,183.0,98.5
zxing.csv,98.5,196.5,193.0,949.5,421.0,190.0,557.5,156.0,1319.0,97.5,97.5,194.0,285.5,375.0,98.5
