,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.71,0.93,0.89,0.61,0.69,0.57,0.4,1.06,0.5,0.9,0.66,0.94,0.58,0.75,0.86
biodwh.csv,0.57,0.87,0.87,0.53,0.64,0.68,0.75,1.07,0.81,0.64,0.75,1.0,0.25,0.45,0.52
brlcad.csv,0.92,0.49,0.48,0.92,0.84,0.76,0.68,1.06,0.62,1.0,0.89,0.49,0.69,1.0,0.93
delphilhlplib.csv,0.92,0.44,0.35,0.6,0.63,0.65,0.49,1.03,0.61,0.41,0.61,0.55,0.7,0.42,0.61
exordium.csv,0.84,0.65,0.64,0.57,0.39,0.67,0.61,1.26,0.54,0.66,0.7,1.0,0.58,0.33,0.63
fltk.csv,0.64,0.8,0.62,0.43,0.44,0.72,0.57,0.99,0.93,0.91,0.58,0.79,0.59,0.9,0.59
gzigzag.csv,0.61,0.84,0.74,0.77,0.69,0.57,0.75,1.36,0.53,0.51,0.71,0.95,0.7,0.39,0.81
jcache.csv,0.88,0.81,0.89,0.6,0.84,0.8,0.68,1.03,0.6,0.5,0.84,0.55,0.55,0.17,0.72
mimosa.csv,0.96,0.92,0.72,0.58,0.87,0.83,0.77,1.01,0.93,0.28,0.93,0.52,0.69,0.42,0.95
moast.csv,0.84,1.0,0.96,0.73,0.72,0.9,0.86,0.83,0.84,0.95,0.85,0.11,1.0,0.86,0.75
mptvseries.csv,0.53,0.61,1.0,0.72,0.58,0.8,0.41,1.05,1.01,0.56,0.66,1.0,0.84,0.88,0.75
ogre.csv,0.93,0.74,0.81,0.65,0.96,0.86,0.99,0.06,0.85,0.39,0.77,1.0,0.65,0.99,0.95
qdvdauthor.csv,0.64,0.93,0.94,0.87,0.66,0.7,0.57,1.17,0.94,0.57,0.4,0.28,0.92,0.49,0.62
sauerbraten.csv,0.42,0.99,0.83,0.99,0.93,0.78,1.0,1.0,1.0,0.63,1.0,0.59,0.92,0.96,0.89
zxing.csv,0.55,0.88,0.95,0.66,0.71,0.58,0.62,0.98,0.55,0.82,0.49,1.13,0.58,0.35,0.29
