,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.89,0.88,0.63,0.63,0.62,0.71,0.56,0.5,0.89,0.89,0.97,0.85
gamestone.csv,0.47,0.52,0.56,0.46,0.89,0.5,0.43,0.86,0.38,0.5,0.97,0.6
geochat.csv,0.64,0.6,0.89,0.93,0.75,0.94,0.55,0.89,0.56,0.61,0.77,0.69
igarden.csv,0.8,0.45,0.96,0.65,0.85,0.42,0.94,0.5,0.73,0.85,0.52,0.94
ingex.csv,0.83,0.4,0.59,0.46,0.63,0.44,0.59,0.48,0.59,0.57,0.57,0.71
lphant.csv,0.36,0.29,0.42,0.31,0.39,0.31,0.33,0.4,0.31,0.41,0.38,0.37
nabu-library.csv,0.83,0.55,0.97,0.96,0.53,0.34,0.0,0.83,0.67,0.86,0.56,0.97
nebuladevice.csv,0.6,0.0,0.0,0.47,0.65,0.54,0.86,0.92,0.55,0.68,0.55,0.83
owlapi.csv,0.95,0.92,0.67,0.75,0.65,0.64,0.75,0.4,0.92,0.66,0.75,0.67
pi-qmc.csv,0.5,0.37,0.47,0.33,0.4,0.36,0.38,0.38,0.35,0.54,0.54,0.38
trinitycore.csv,0.46,0.38,0.8,0.75,0.93,0.64,0.68,0.8,0.42,0.75,0.55,0.93
twostep.csv,0.61,0.34,0.47,0.35,0.55,0.34,0.46,0.35,0.42,0.5,0.42,0.38
